num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
2,25,30,5,1,25,25
2,24,30,6,0,24,23
2,25,30,3,2,27,23
2,25,30,8,4,22,21
2,29,30,4,3,26,26
2,27,30,5,4,25,23
2,22,30,3,1,27,20
2,21,30,7,4,23,15
2,27,30,4,1,26,26
2,24,30,8,2,22,22
2,27,30,4,1,26,26
2,25,30,5,1,25,24
2,27,30,5,5,25,22
2,25,30,5,0,25,24
2,22,30,9,2,21,20
2,30,30,5,5,25,25
2,25,30,7,4,23,22
2,20,30,10,0,20,20
2,22,30,8,0,22,22
2,23,30,7,1,23,21
2,25,30,5,0,25,25
2,25,30,9,3,21,21
2,28,30,4,3,26,25
2,24,30,8,4,22,20
2,27,30,7,6,23,21
2,29,30,7,6,23,23
2,25,30,5,0,25,24
2,10,30,4,3,26,8
2,26,30,10,5,20,20
2,27,30,7,6,23,20
2,22,30,7,0,23,22
2,29,30,1,0,29,29
2,24,30,6,3,24,22
2,26,30,5,2,25,24
2,26,30,5,4,25,22
2,23,30,3,2,27,20
2,26,30,2,1,28,25
2,26,30,4,0,26,26
2,21,30,8,1,22,21
2,25,30,4,4,26,21
2,29,30,0,0,30,29
2,26,30,5,1,25,25
2,29,30,1,0,29,29
2,25,30,5,1,25,24
2,27,30,5,5,25,23
2,28,30,4,2,26,26
2,25,30,5,5,25,20
2,26,30,5,1,25,25
2,27,30,1,0,29,28
2,11,30,2,2,28,9
2,26,30,4,2,26,24
2,27,30,4,1,26,25
2,26,30,4,1,26,26
2,24,30,6,0,24,24
2,14,30,5,4,25,10
2,26,30,4,1,26,26
2,27,30,5,3,25,24
2,14,30,5,1,25,15
2,29,30,4,3,26,26
2,30,30,4,4,26,26
2,12,30,4,2,26,12
2,22,30,4,2,26,21
2,28,30,2,0,28,27
2,8,30,5,4,25,6
2,28,30,4,4,26,24
2,28,30,3,3,27,24
2,27,30,3,0,27,27
2,26,30,3,1,27,25
2,27,30,3,1,27,26
2,23,30,7,0,23,23
2,27,30,4,3,26,25
2,25,30,7,3,23,22
2,27,30,4,1,26,26
2,26,30,7,3,23,23
2,18,30,4,2,26,15
2,27,30,3,0,27,27
2,27,30,5,3,25,23
2,28,30,4,3,26,25
2,27,30,3,3,27,24
2,24,30,5,3,25,21
2,30,30,4,4,26,26
2,26,30,5,3,25,24
2,26,30,4,0,26,26
2,27,30,5,3,25,24
2,25,30,10,5,20,20
2,26,30,5,2,25,24
2,28,30,3,1,27,27
2,24,30,8,3,22,20
2,28,30,1,0,29,28
2,18,30,8,6,22,14
2,25,30,5,2,25,23
2,26,30,6,3,24,22
2,26,30,4,1,26,26
2,26,30,8,6,22,20
2,27,30,6,3,24,24
2,21,30,7,7,23,14
2,27,30,3,0,27,27
2,27,30,3,3,27,24
2,28,30,8,6,22,22
2,27,30,5,3,25,25
2,27,30,7,5,23,23
2,27,30,4,0,26,26
2,23,30,6,1,24,23
2,24,30,6,0,24,24
2,28,30,3,1,27,27
2,26,30,4,1,26,26
2,27,30,4,2,26,26
2,6,30,6,6,24,1
2,25,30,7,4,23,21
2,30,30,0,0,30,29
2,25,30,5,0,25,25
2,25,30,6,1,24,24
2,27,30,5,2,25,25
2,21,30,5,0,25,20
2,25,30,5,1,25,25
2,25,30,4,3,26,22
2,28,30,8,6,22,22
2,26,30,4,1,26,26
2,21,30,5,3,25,19
2,29,30,6,5,24,24
2,26,30,6,2,24,24
2,22,30,6,4,24,18
2,25,30,5,0,25,25
2,28,30,3,1,27,27
2,26,30,4,0,26,26
2,21,30,9,1,21,21
2,21,30,9,1,21,21
2,25,30,3,0,27,24
2,10,30,4,1,26,8
2,22,30,3,1,27,20
2,26,30,4,0,26,26
2,29,30,2,2,28,27
2,25,30,2,0,28,25
2,25,30,5,4,25,21
2,30,30,5,5,25,25
2,20,30,10,0,20,20
2,25,30,5,1,25,25
2,25,30,5,0,25,23
2,24,30,1,0,29,24
2,28,30,4,3,26,25
2,26,30,7,4,23,22
2,26,30,9,4,21,21
2,24,30,5,4,25,20
2,24,30,7,1,23,22
2,25,30,8,3,22,22
2,23,30,8,1,22,22
2,26,30,4,0,26,26
2,24,30,6,0,24,24
2,27,30,3,1,27,27
2,23,30,7,1,23,23
2,27,30,8,8,22,19
2,25,30,5,2,25,23
2,8,30,2,2,28,8
2,20,30,10,2,20,20
2,25,30,2,1,28,24
2,25,30,8,6,22,19
2,25,30,5,0,25,25
2,25,30,6,5,24,20
2,29,30,3,2,27,26
2,27,30,3,1,27,26
2,26,30,2,2,28,24
2,27,30,5,4,25,23
2,23,30,9,5,21,17
2,26,30,4,0,26,26
2,28,30,4,3,26,25
2,25,30,6,5,24,19
2,26,30,6,2,24,23
2,28,30,2,1,28,26
2,28,30,9,8,21,20
2,28,30,5,3,25,25
2,26,30,8,5,22,21
2,30,30,3,3,27,27
2,24,30,5,3,25,20
2,29,30,5,4,25,25
2,24,30,2,1,28,22
2,28,30,4,4,26,24
2,23,30,6,2,24,23
