num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
2,22,30,5,5,25,17
2,27,30,5,5,25,22
2,23,30,9,7,21,16
2,26,30,3,1,27,25
2,26,30,3,3,27,23
2,29,30,5,5,25,23
2,19,30,5,4,25,15
2,25,30,5,3,25,22
2,22,30,6,4,24,18
2,20,30,4,2,26,18
2,25,30,4,2,26,23
2,25,30,7,4,23,21
2,27,30,4,2,26,24
2,23,30,6,4,24,19
2,22,30,5,3,25,19
2,27,30,7,6,23,21
2,28,30,7,5,23,22
2,15,30,3,3,27,12
2,28,30,7,6,23,23
2,26,30,7,4,23,22
2,27,30,4,2,26,25
2,28,30,4,2,26,25
2,4,30,4,4,26,0
2,28,30,1,0,29,28
2,24,30,4,2,26,21
2,25,30,6,5,24,20
2,28,30,4,3,26,25
2,27,30,3,3,27,24
2,5,30,5,5,25,1
2,28,30,5,4,25,24
2,24,30,5,2,25,22
2,11,30,7,5,23,7
2,13,30,7,3,23,10
2,27,30,2,2,28,24
2,14,30,3,2,27,11
2,27,30,7,7,23,20
2,25,30,5,2,25,23
2,26,30,3,3,27,24
2,23,30,5,2,25,21
2,5,30,4,4,26,3
2,25,30,4,3,26,22
2,30,30,1,1,29,28
2,3,30,1,1,29,6
2,19,30,4,3,26,16
2,23,30,5,2,25,20
2,13,30,2,2,28,12
2,25,30,5,4,25,20
2,24,30,6,4,24,21
2,9,30,2,1,28,9
2,22,30,7,6,23,16
2,20,30,5,3,25,16
2,28,30,9,6,21,21
2,27,30,8,7,22,20
2,30,30,4,4,26,26
2,27,30,3,1,27,25
2,24,30,3,3,27,21
2,20,30,3,2,27,20
2,15,30,2,2,28,14
2,26,30,8,5,22,21
2,26,30,4,3,26,23
2,19,30,5,5,25,15
2,30,30,7,6,23,23
2,21,30,3,3,27,18
2,23,30,4,3,26,21
2,17,30,9,4,21,14
2,19,30,5,3,25,16
2,23,30,4,2,26,21
2,25,30,5,4,25,21
2,25,30,4,3,26,22
2,24,30,5,2,25,22
2,23,30,5,3,25,18
2,21,30,7,4,23,18
2,14,30,7,5,23,10
2,23,30,10,4,20,19
2,23,30,6,6,24,17
2,23,30,8,4,22,19
2,29,30,5,4,25,25
2,28,30,6,5,24,23
2,17,30,2,2,28,18
2,25,30,7,5,23,21
2,16,30,12,9,18,7
2,21,30,4,1,26,20
2,27,30,6,4,24,23
2,22,30,5,4,25,18
2,26,30,7,3,23,22
2,20,30,6,2,24,18
2,25,30,6,3,24,21
2,25,30,3,3,27,21
2,21,30,6,4,24,17
2,6,30,6,6,24,2
2,27,30,6,4,24,23
2,22,30,9,5,21,15
2,22,30,4,4,26,18
2,16,30,6,5,24,11
2,28,30,7,6,23,22
2,4,30,4,4,26,4
2,17,30,6,5,24,12
2,27,30,7,7,23,19
2,26,30,2,2,28,22
2,20,30,7,1,23,19
2,17,30,5,4,25,14
2,26,30,5,3,25,23
2,25,30,3,2,27,22
2,24,30,2,1,28,24
2,25,30,4,4,26,21
2,28,30,6,6,24,22
2,24,30,3,2,27,22
2,25,30,7,6,23,18
2,15,30,7,7,23,8
2,25,30,8,7,22,18
2,28,30,8,6,22,21
2,27,30,4,1,26,26
2,27,30,3,1,27,26
2,22,30,2,2,28,19
2,27,30,3,1,27,26
2,26,30,4,3,26,23
2,21,30,3,3,27,18
2,22,30,5,4,25,17
2,24,30,1,1,29,23
2,20,30,5,3,25,17
2,27,30,2,2,28,25
2,24,30,7,5,23,19
2,23,30,11,11,19,12
2,27,30,5,4,25,22
2,23,30,6,4,24,18
2,23,30,5,4,25,18
2,26,30,5,4,25,23
2,3,30,3,3,27,0
2,25,30,6,3,24,22
2,11,30,2,1,28,10
2,21,30,5,4,25,17
2,12,30,5,2,25,9
2,29,30,4,4,26,25
2,19,30,9,5,21,15
2,25,30,7,5,23,20
2,26,30,2,0,28,26
2,21,30,5,2,25,19
2,20,30,4,0,26,19
2,23,30,3,3,27,20
2,5,30,4,4,26,3
2,4,30,4,4,26,2
2,26,30,2,1,28,25
2,15,30,4,3,26,11
2,17,30,3,2,27,15
2,21,30,7,6,23,15
2,25,30,2,1,28,24
2,20,30,4,4,26,16
2,17,30,6,5,24,13
2,12,30,6,5,24,7
2,24,30,7,2,23,22
2,25,30,8,7,22,18
2,25,30,4,3,26,22
2,27,30,7,6,23,21
2,19,30,8,2,22,19
2,27,30,5,2,25,25
2,10,30,3,3,27,8
2,25,30,5,2,25,24
2,26,30,5,2,25,24
2,25,30,5,3,25,22
2,25,30,5,4,25,21
2,25,30,6,3,24,22
2,27,30,4,4,26,22
2,12,30,1,1,29,11
2,25,30,4,4,26,21
2,28,30,5,4,25,23
2,25,30,5,2,25,22
2,22,30,7,4,23,18
2,21,30,6,4,24,18
2,28,30,1,1,29,26
2,22,30,6,3,24,19
2,16,30,5,3,25,14
2,26,30,5,4,25,23
2,25,30,4,1,26,24
