num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
2,22,30,13,8,17,14
2,26,30,9,6,21,20
2,27,30,7,5,23,21
2,22,30,11,11,19,12
2,21,30,10,1,20,19
2,28,30,12,10,18,18
2,22,30,8,0,22,22
2,26,30,10,6,20,19
2,23,30,10,5,20,19
2,22,30,16,12,14,10
2,19,30,11,1,19,19
2,27,30,6,4,24,23
2,16,30,14,0,16,16
2,21,30,9,0,21,21
2,23,30,12,8,18,15
2,23,30,11,4,19,19
2,27,30,13,11,17,16
2,25,30,7,4,23,21
2,20,30,9,4,21,15
2,20,30,10,0,20,20
2,23,30,12,12,18,11
2,14,30,12,1,18,14
2,22,30,14,9,16,13
2,23,30,7,4,23,19
2,20,30,11,2,19,19
2,25,30,10,4,20,20
2,24,30,11,5,19,18
2,21,30,13,7,17,13
2,22,30,12,12,18,11
2,26,30,12,9,18,17
2,29,30,5,4,25,24
2,26,30,10,6,20,20
2,27,30,10,8,20,18
2,26,30,7,6,23,20
2,24,30,13,11,17,13
2,28,30,11,10,19,18
2,22,30,8,0,22,22
2,24,30,12,6,18,16
2,25,30,12,7,18,17
2,19,30,12,2,18,18
2,19,30,11,0,19,19
2,26,30,7,6,23,21
2,26,30,10,9,20,17
2,28,30,12,10,18,16
2,24,30,6,0,24,24
2,24,30,8,2,22,22
2,22,30,5,2,25,20
2,20,30,10,4,20,16
2,24,30,10,6,20,20
2,24,30,10,6,20,18
2,20,30,8,7,22,13
2,7,30,7,7,23,0
2,19,30,13,5,17,14
2,24,30,7,2,23,21
2,21,30,9,1,21,21
2,22,30,12,6,18,16
2,18,30,12,0,18,18
2,23,30,11,5,19,18
2,25,30,8,6,22,19
2,22,30,17,13,13,9
2,24,30,12,10,18,15
2,17,30,13,0,17,17
2,28,30,8,7,22,20
2,19,30,11,0,19,19
2,21,30,11,5,19,16
2,23,30,11,10,19,14
2,24,30,9,6,21,18
2,24,30,11,7,19,16
2,15,30,15,1,15,15
2,20,30,10,0,20,20
2,22,30,11,5,19,17
2,26,30,11,7,19,19
2,27,30,11,8,19,18
2,24,30,8,3,22,21
2,25,30,10,7,20,18
2,28,30,7,6,23,22
2,21,30,9,1,21,21
2,18,30,12,0,18,18
2,24,30,7,4,23,20
2,19,30,11,4,19,15
2,22,30,12,4,18,18
2,16,30,14,1,16,16
2,23,30,9,6,21,17
2,24,30,8,3,22,22
2,20,30,10,0,20,20
2,24,30,6,2,24,22
2,18,30,13,6,17,12
2,20,30,12,6,18,14
2,18,30,9,4,21,14
2,26,30,7,3,23,22
2,27,30,4,2,26,24
2,28,30,9,8,21,20
2,24,30,9,9,21,15
2,23,30,12,7,18,16
2,22,30,12,5,18,17
2,19,30,11,2,19,19
2,21,30,11,8,19,13
2,27,30,11,8,19,19
2,17,30,13,0,17,17
