num_images_per_question,num_correct_edges,num_edges,num_1,num_1_correct,num_0,num_0_correct
2,21,30,13,4,17,15
2,25,30,15,12,15,14
2,19,30,11,8,19,11
2,22,30,11,6,19,16
2,26,30,12,10,18,17
2,22,30,11,9,19,14
2,21,30,10,6,20,15
2,20,30,15,5,15,15
2,20,30,10,6,20,13
2,19,30,8,6,22,13
2,21,30,10,8,20,13
2,22,30,5,5,25,17
2,25,30,15,11,15,13
2,28,30,13,12,17,16
2,17,30,15,10,15,7
2,23,30,8,2,22,21
2,16,30,6,3,24,13
2,21,30,12,4,18,17
2,22,30,9,4,21,18
2,16,30,11,9,19,7
2,23,30,12,6,18,17
2,19,30,16,12,14,7
2,19,30,9,6,21,12
2,15,30,11,11,19,5
2,21,30,13,10,17,11
2,25,30,7,3,23,22
2,16,30,9,7,21,10
2,24,30,17,13,13,11
2,23,30,7,4,23,19
2,13,30,13,13,17,0
2,24,30,14,9,16,16
2,24,30,9,6,21,18
2,19,30,10,4,20,15
2,15,30,10,7,20,8
2,24,30,9,7,21,18
2,24,30,7,4,23,20
2,23,30,6,2,24,21
2,25,30,7,4,23,21
2,22,30,13,8,17,14
2,15,30,11,9,19,7
2,23,30,7,6,23,17
2,20,30,10,9,20,12
2,25,30,6,6,24,19
2,23,30,14,9,16,13
2,23,30,11,9,19,14
2,19,30,13,2,17,17
2,21,30,18,12,12,9
2,25,30,10,9,20,16
2,22,30,8,5,22,16
2,16,30,9,8,21,8
2,22,30,10,9,20,13
2,25,30,7,4,23,21
2,22,30,6,5,24,18
2,13,30,8,5,22,8
2,22,30,8,1,22,21
2,21,30,9,5,21,16
2,24,30,9,7,21,17
2,19,30,8,4,22,16
2,22,30,9,7,21,14
2,25,30,6,5,24,20
2,24,30,3,1,27,24
2,20,30,11,2,19,17
2,6,30,6,6,24,1
2,22,30,13,7,17,17
2,21,30,12,4,18,15
2,22,30,9,8,21,15
2,24,30,6,0,24,24
2,18,30,6,4,24,14
2,27,30,11,9,19,18
2,9,30,8,8,22,2
2,13,30,10,6,20,7
2,27,30,8,7,22,20
2,14,30,13,8,17,7
2,24,30,13,7,17,16
2,22,30,10,2,20,20
2,20,30,10,7,20,13
2,23,30,11,8,19,15
2,27,30,11,10,19,17
2,26,30,11,10,19,16
2,20,30,10,9,20,11
2,20,30,14,11,16,11
2,21,30,13,9,17,12
2,18,30,7,3,23,15
2,23,30,7,5,23,18
2,27,30,11,9,19,18
2,19,30,11,4,19,15
2,18,30,9,5,21,13
2,30,30,4,4,26,26
2,18,30,8,6,22,11
2,19,30,11,7,19,12
2,20,30,8,7,22,13
2,19,30,8,8,22,11
2,21,30,12,4,18,17
2,22,30,11,6,19,16
2,23,30,12,8,18,15
2,28,30,9,6,21,20
2,17,30,12,5,18,12
2,24,30,7,5,23,20
2,21,30,7,7,23,14
2,18,30,14,13,16,4
2,20,30,13,9,17,10
2,23,30,11,10,19,14
2,18,30,8,7,22,11
2,23,30,9,8,21,14
2,15,30,9,9,21,7
2,22,30,12,7,18,15
2,27,30,12,10,18,16
2,22,30,8,8,22,14
2,21,30,12,5,18,15
2,14,30,6,6,24,8
2,18,30,11,8,19,10
2,20,30,13,10,17,10
2,17,30,11,11,19,6
2,26,30,14,12,16,13
2,25,30,13,10,17,15
2,22,30,13,11,17,12
2,23,30,12,9,18,14
2,21,30,12,10,18,11
2,23,30,8,4,22,19
2,25,30,8,6,22,19
2,17,30,7,5,23,11
2,22,30,10,5,20,17
2,11,30,8,2,22,9
2,18,30,5,2,25,16
2,15,30,7,3,23,14
2,22,30,11,9,19,13
2,27,30,8,7,22,20
2,24,30,12,7,18,17
2,22,30,11,6,19,16
2,15,30,10,4,20,11
2,19,30,10,1,20,19
2,23,30,10,8,20,15
2,27,30,7,6,23,21
2,15,30,6,6,24,9
2,18,30,11,5,19,13
2,14,30,9,6,21,8
2,23,30,13,9,17,13
2,9,30,9,9,21,0
2,21,30,11,8,19,13
2,21,30,6,5,24,16
2,21,30,10,8,20,13
2,22,30,13,6,17,16
2,16,30,14,9,16,10
2,19,30,11,7,19,12
2,18,30,12,4,18,14
2,8,30,7,6,23,3
2,20,30,8,7,22,13
2,25,30,11,6,19,19
2,25,30,11,9,19,15
2,24,30,9,4,21,19
2,19,30,9,8,21,12
2,21,30,6,5,24,16
2,22,30,12,9,18,13
2,22,30,8,0,22,22
2,16,30,9,8,21,8
2,19,30,9,8,21,11
2,22,30,8,5,22,17
2,17,30,9,5,21,12
2,20,30,11,11,19,9
2,18,30,13,7,17,10
2,21,30,14,8,16,13
2,23,30,12,7,18,16
2,21,30,10,1,20,20
2,25,30,10,9,20,16
2,14,30,12,6,18,8
2,16,30,8,5,22,12
2,12,30,9,9,21,3
2,16,30,12,3,18,12
2,21,30,11,8,19,13
2,20,30,10,6,20,14
2,10,30,10,6,20,5
2,19,30,10,6,20,14
2,23,30,13,11,17,12
2,25,30,9,7,21,17
2,26,30,11,8,19,17
2,18,30,12,2,18,16
2,22,30,13,7,17,15
2,25,30,11,8,19,17
2,21,30,11,8,19,12
2,21,30,8,6,22,15
2,20,30,14,7,16,13
2,24,30,7,6,23,19
2,23,30,9,7,21,16
2,17,30,14,1,16,16
2,22,30,10,6,20,16
2,23,30,12,10,18,13
2,26,30,11,8,19,18
2,24,30,11,6,19,18
2,22,30,11,8,19,14
2,22,30,8,5,22,16
2,27,30,9,7,21,20
2,26,30,8,6,22,19
2,23,30,8,5,22,18
2,15,30,15,15,15,0
2,25,30,11,8,19,16
2,24,30,15,10,15,14
2,9,30,10,8,20,2
2,17,30,13,1,17,16
2,26,30,14,10,16,16
2,22,30,9,5,21,17
2,25,30,11,11,19,14
2,19,30,10,6,20,13
2,22,30,11,7,19,15
2,22,30,8,5,22,17
2,24,30,12,11,18,13
2,16,30,13,13,17,4
2,21,30,12,7,18,13
2,17,30,13,6,17,11
2,20,30,12,6,18,14
2,21,30,6,5,24,16
2,24,30,13,10,17,14
2,16,30,14,1,16,14
2,14,30,8,3,22,11
2,17,30,11,8,19,12
2,21,30,8,4,22,18
2,25,30,11,7,19,18
2,17,30,14,7,16,9
2,19,30,9,8,21,13
2,18,30,13,3,17,15
2,14,30,8,7,22,7
2,9,30,9,9,21,0
2,25,30,8,5,22,20
2,21,30,18,12,12,9
2,16,30,7,7,23,9
2,22,30,10,7,20,15
2,14,30,13,10,17,4
2,19,30,11,1,19,18
2,23,30,13,13,17,10
2,17,30,8,7,22,10
2,18,30,9,4,21,14
2,15,30,11,6,19,9
2,19,30,8,1,22,18
2,25,30,14,13,16,12
2,20,30,15,9,15,11
2,17,30,12,5,18,13
2,20,30,7,5,23,15
2,21,30,10,10,20,11
2,22,30,11,6,19,16
2,19,30,10,8,20,12
2,19,30,12,4,18,14
2,9,30,9,9,21,0
2,24,30,9,5,21,19
2,17,30,8,6,22,11
2,20,30,8,7,22,13
2,26,30,9,5,21,21
2,24,30,6,4,24,20
2,16,30,9,5,21,10
2,23,30,9,7,21,16
2,15,30,9,7,21,9
2,27,30,9,8,21,19
2,20,30,13,8,17,12
2,17,30,17,10,13,7
2,20,30,13,11,17,9
2,24,30,7,7,23,17
2,22,30,12,6,18,16
2,9,30,8,3,22,6
2,24,30,5,4,25,20
2,23,30,12,10,18,13
2,16,30,13,1,17,15
2,22,30,9,4,21,18
2,25,30,8,6,22,20
2,20,30,9,8,21,12
2,26,30,9,7,21,19
2,23,30,11,7,19,17
2,9,30,11,7,19,1
2,12,30,8,3,22,10
2,21,30,13,8,17,13
2,20,30,8,3,22,16
2,24,30,7,4,23,20
2,21,30,10,8,20,13
2,18,30,10,8,20,10
2,21,30,11,7,19,14
2,22,30,10,7,20,14
2,17,30,15,10,15,7
2,24,30,9,6,21,17
2,17,30,18,14,12,3
2,22,30,9,1,21,21
2,24,30,7,2,23,22
2,18,30,14,2,16,16
2,24,30,12,9,18,15
2,21,30,12,8,18,13
2,23,30,6,3,24,20
2,25,30,9,6,21,19
2,16,30,6,4,24,12
2,22,30,8,3,22,19
2,21,30,5,3,25,16
2,19,30,10,4,20,14
2,24,30,12,9,18,15
2,25,30,17,13,13,12
