num_images_per_question,time_per_question
2,6.192
2,4.768
2,7.272
2,5.64
2,5.666
2,6.846
2,4.456
2,4.077
2,5.48
2,3.68
2,3.408
2,3.426
2,3.424
2,4.08
2,4.559
2,3.658
2,3.872
2,3.399
2,3.368
2,3.677
2,5.008
2,4.943
2,3.836
2,5.488
2,4.749
2,3.295
2,3.432
2,4.376
2,3.824
2,3.641
2,4.873
2,5.244
2,4.238
2,3.965
2,4.22
2,4.03
2,3.69
2,4.001
2,4.982
2,3.905
2,4.996
2,5.331
2,15.275
2,4.188
2,3.847
2,3.973
2,3.802
2,6.294
2,6.339
2,3.724
2,3.885
2,3.586
2,3.69
2,3.614
2,3.746
2,3.933
2,4.661
2,3.782
2,3.556
2,3.489
2,9.256
2,9.936
2,7.272
2,6.799
2,6.312
2,5.488
2,5.705
2,5.803
2,5.66
2,5.738
2,5.854
2,5.585
2,5.589
2,5.434
2,5.783
2,4.932
2,5.131
2,5.88
2,5.68
2,6.016
2,7.259
2,4.861
2,7.553
2,5.102
2,5.306
2,5.694
2,4.84
2,5.055
2,5.169
2,13.559
2,7.598
2,4.428
2,4.203
2,5.448
2,10.107
2,12.246
2,4.703
2,5.809
2,4.383
2,5.359
2,18.667
2,11.248
2,10.719
2,4.063
2,5.123
2,8.029
2,4.254
2,6.299
2,3.831
2,86.269
2,4.613
2,9.848
2,10.574
2,4.704
2,8.864
2,5.258
2,7.487
2,8.487
2,4.971
2,4.599
2,5.027
2,7.08
2,4.972
2,7.75
2,5.42
2,5.258
2,8.179
2,5.207
2,4.657
2,5.447
2,5.465
2,5.86
2,6.154
2,4.864
2,7.484
2,5.056
2,7.345
2,4.581
2,7.595
2,5.163
2,4.524
2,7.948
2,9.108
2,5.811
2,5.486
2,4.976
2,4.725
2,4.61
2,4.615
2,4.862
2,12.335
2,27.528
2,5.616
2,5.663
2,9.017
2,5.408
2,8.554
2,5.485
2,7.151
2,5.385
2,6.215
2,8.376
2,5.032
2,5.503
2,12.921
2,7.967
2,6.178
2,5.71
2,10.143
2,6.935
2,4.888
2,4.807
2,4.912
2,4.608
2,8.12
2,7.64
2,4.56
2,23.544
2,6.428
2,7.43
2,4.409
2,3.831
2,3.816
2,4.047
2,8.416
2,7.672
2,4.992
2,7.497
2,4.158
2,6.784
2,6.8
2,33.222
2,4.432
2,4.167
2,4.904
2,6.727
2,5.512
2,6.088
2,4.133
2,7.683
2,3.856
2,4.995
2,3.964
2,5.992
2,5.176
2,4.725
2,5.219
2,3.743
2,4.021
2,4.043
2,8.004
2,15.271
2,7.188
2,11.472
2,9.002
2,10.717
2,6.688
2,6.815
2,8.442
2,6.859
2,9.73
2,7.256
2,9.751
2,6.527
2,8.635
2,14.02
2,7.264
2,6.432
2,7.854
2,8.076
2,4.821
2,12.222
2,17.168
2,12.6
2,9.773
2,4.943
2,6.082
2,6.571
2,7.315
2,9.45
2,5.066
2,3.341
2,3.49
2,3.328
2,3.59
2,4.881
2,3.464
2,3.528
2,3.43
2,3.775
2,3.787
2,6.069
2,3.499
2,3.696
2,3.488
2,3.808
2,4.147
2,4.836
2,3.608
2,3.141
2,3.226
2,3.417
2,3.484
2,6.242
2,3.489
2,4.191
2,3.48
2,5.623
2,3.576
2,5.361
2,4.859
2,3.143
2,3.339
2,3.97
2,3.526
2,3.522
2,3.154
2,3.453
2,3.314
2,3.286
2,4.889
2,3.382
2,5.302
2,3.284
2,3.495
2,3.624
2,4.831
2,3.399
2,3.113
2,2.984
2,3.448
2,3.081
2,3.318
2,4.792
2,3.335
2,3.162
2,3.072
2,3.689
2,5.139
2,3.757
2,13.385
2,6.892
2,4.7
2,4.895
2,5.336
2,7.322
2,4.867
2,5.164
2,4.507
2,4.705
2,5.547
2,5.873
2,4.123
2,6.318
2,6.6
2,13.397
2,5.696
2,7.993
2,5.144
2,6.216
2,6.431
2,4.561
2,8.394
2,5.046
2,3.976
2,6.35
2,5.47
2,6.524
2,4.768
2,4.89
2,5.489
2,3.97
2,4.764
2,3.454
2,3.492
2,3.459
2,3.701
2,3.559
2,3.79
2,3.37
2,4.89
2,3.543
2,5.918
2,3.453
2,3.661
2,4.492
2,3.809
2,3.675
2,3.344
2,4.162
2,4.672
2,3.335
2,3.922
2,3.661
2,3.634
2,3.709
2,3.82
2,3.508
2,3.368
2,3.761
2,14.161
2,6.633
2,10.828
2,5.816
2,7.032
2,6.622
2,6.103
2,9.613
2,9.903
2,5.575
2,9.694
2,10.663
2,7.892
2,8.709
2,10.981
2,11.739
2,6.671
2,5.888
2,13.655
2,9.369
2,7.858
2,7.629
2,10.953
2,9.237
2,5.68
2,8.001
2,8.849
2,16.729
2,9.134
2,13.262
2,5.294
2,6.871
2,7.681
2,5.121
2,4.593
2,4.623
2,6.549
2,10.702
2,4.579
2,4.751
2,9.013
2,6.358
2,4.808
2,5.195
2,6.854
2,5.929
2,4.242
2,8.159
2,7.342
2,5.334
2,8.909
2,4.781
2,4.505
2,4.23
2,4.883
2,7.313
2,4.751
2,4.933
2,4.688
2,4.834
2,4.715
2,3.817
2,5.779
2,6.247
2,7.437
2,7.895
2,6.206
2,4.907
2,4.556
2,4.909
2,4.323
2,6.85
2,5.181
2,6.586
2,6.365
2,5.731
2,6.953
2,4.743
2,4.813
2,6.525
2,4.52
2,5.774
2,6.353
2,4.471
2,4.315
2,6.457
2,6.417
2,5.576
2,6.27
2,9.04
2,4.74
2,7.866
2,4.352
2,4.44
2,3.784
2,3.591
2,5.575
2,4.273
2,4.414
2,4.824
2,4.152
2,4.088
2,4.536
2,4.456
2,4.76
2,4.256
2,4.576
2,4.175
2,4.4
2,4.704
2,4.522
2,4.0
2,3.949
2,6.151
2,5.752
2,4.552
2,3.704
2,4.568
2,5.68
2,5.664
2,7.692
2,9.444
2,7.296
2,6.672
2,8.379
2,12.101
2,7.432
2,10.608
2,11.623
2,8.428
2,7.056
2,5.801
2,5.92
2,6.291
2,5.752
2,6.8
2,10.52
2,6.44
2,6.9
2,9.295
2,7.292
2,6.3
2,4.999
2,7.577
2,5.76
2,12.564
2,11.268
2,12.124
2,7.38
2,9.191
2,7.863
2,13.6
2,6.276
2,7.204
2,10.291
2,6.843
2,11.0
2,5.84
2,6.356
2,5.908
2,14.072
2,5.999
2,8.936
2,6.135
2,8.944
2,6.296
2,5.304
2,5.208
2,6.195
2,5.716
2,6.543
2,5.224
2,7.183
2,7.289
2,10.381
2,7.81
2,6.344
2,7.384
2,10.488
2,9.56
2,5.145
2,3.406
2,3.072
2,5.255
2,3.041
2,2.88
2,2.735
2,3.04
2,2.704
2,10.209
2,4.384
2,2.887
2,3.065
2,2.928
2,3.088
2,3.065
2,3.167
2,3.117
2,3.331
2,3.665
2,3.208
2,2.935
2,3.608
2,2.816
2,3.809
2,4.095
2,2.882
2,2.822
2,2.761
2,5.248
2,6.861
2,4.77
2,21.76
2,6.079
2,4.45
2,20.14
2,6.899
2,4.85
2,6.201
2,4.529
2,5.12
2,15.21
2,13.11
2,5.009
2,24.84
2,5.69
2,5.35
2,21.55
2,4.57
2,14.418
2,4.709
2,7.76
2,6.171
2,24.829
2,6.649
2,6.58
2,21.269
2,8.931
2,10.37
2,11.15
2,6.955
2,4.473
2,5.425
2,4.543
2,4.77
2,7.4
2,7.192
2,5.913
2,6.627
2,5.891
2,6.557
2,5.228
2,7.319
2,5.523
2,5.239
2,4.497
2,4.995
2,5.64
2,5.401
2,12.314
2,5.95
2,5.932
2,9.624
2,7.407
2,5.326
2,5.471
2,6.793
2,4.784
2,5.281
2,25.487
2,17.84
2,8.911
2,7.639
2,7.319
2,8.84
2,6.393
2,8.926
2,6.601
2,7.287
2,7.999
2,5.976
2,7.383
2,6.28
2,6.24
2,14.918
2,6.672
2,5.6
2,6.04
2,5.56
2,7.023
2,7.256
2,10.495
2,6.824
2,7.544
2,6.127
2,7.143
2,5.0
2,8.696
2,6.231
2,7.004
2,5.647
2,4.066
2,2.413
2,4.377
2,4.009
2,2.668
2,2.472
2,2.85
2,4.222
2,3.168
2,2.641
2,11.077
2,7.487
2,3.968
2,2.693
2,2.83
2,2.766
2,2.567
2,3.104
2,2.289
2,2.761
2,4.316
2,3.84
2,2.716
2,3.073
2,2.813
2,4.986
2,2.378
2,3.887
2,2.8
2,4.712
2,9.959
2,6.472
2,6.476
2,7.14
2,4.832
2,4.614
2,4.955
2,26.192
2,7.016
2,7.64
2,7.92
2,10.736
2,6.946
2,4.63
2,7.144
2,5.752
2,5.208
2,5.863
2,5.153
2,4.84
2,7.563
2,4.533
2,4.08
2,75.424
2,6.825
2,5.935
2,6.479
2,6.656
2,5.556
2,8.184
2,2.896
2,2.999
2,3.105
2,2.751
2,2.695
2,3.096
2,2.622
2,3.442
2,3.023
2,4.624
2,2.705
2,3.021
2,2.77
2,2.382
2,2.809
2,2.447
2,3.057
2,3.831
2,3.112
2,2.864
2,2.872
2,5.096
2,4.033
2,5.022
2,4.767
2,2.881
2,2.718
2,3.377
2,3.008
2,3.984
2,4.704
2,6.712
2,4.776
2,4.799
2,4.864
2,4.272
2,5.521
2,40.159
2,8.815
2,8.667
2,5.127
2,5.073
2,5.07
2,5.649
2,4.519
2,4.913
2,5.243
2,4.964
2,4.559
2,4.536
2,4.295
2,7.393
2,6.56
2,5.32
2,5.408
2,6.416
2,5.943
2,4.344
2,6.832
2,7.76
2,7.007
2,8.256
2,7.618
2,5.857
2,8.797
2,5.632
2,6.314
2,11.276
2,7.5
2,7.688
2,5.986
2,8.022
2,7.559
2,5.984
2,5.582
2,6.835
2,7.216
2,10.207
2,8.001
2,5.95
2,5.555
2,5.534
2,8.347
2,12.022
2,9.222
2,6.121
2,4.825
2,6.864
2,5.146
2,6.575
2,4.202
2,4.286
2,7.04
2,6.392
2,6.16
2,4.304
2,4.32
2,8.983
2,8.327
2,4.099
2,3.849
2,4.062
2,3.774
2,3.611
2,3.813
2,3.663
2,4.456
2,6.263
2,3.969
2,6.263
2,4.024
2,4.064
2,3.42
2,3.42
2,5.455
2,6.324
2,3.811
2,6.304
2,4.592
2,6.501
2,5.691
2,4.766
2,10.875
2,7.295
2,6.328
2,8.121
2,6.101
2,6.216
2,4.934
2,4.725
2,5.755
2,6.028
2,4.795
2,10.148
2,4.786
2,5.56
2,3.727
2,4.042
2,4.454
2,5.799
2,6.651
2,6.183
2,5.031
2,4.056
2,3.934
2,5.05
2,6.558
2,3.699
2,5.174
2,2.425
2,3.366
2,3.79
2,2.718
2,3.139
2,3.077
2,2.927
2,4.697
2,4.204
2,3.432
2,11.159
2,2.942
2,4.997
2,7.25
2,3.296
2,3.025
2,2.76
2,4.596
2,2.438
2,2.715
2,2.976
2,2.935
2,2.906
2,3.407
2,4.626
2,4.084
2,3.72
2,2.788
2,3.302
2,3.057
2,10.117
2,8.227
2,6.529
2,6.034
2,4.739
2,7.441
2,6.476
2,6.142
2,4.922
2,4.764
2,5.989
2,4.147
2,15.963
2,6.325
2,7.089
2,4.75
2,16.986
2,4.713
2,4.606
2,4.373
2,4.213
2,7.012
2,14.512
2,4.388
2,6.178
2,4.006
2,7.408
2,4.996
2,16.713
2,4.923
2,34.433
2,8.183
2,18.621
2,5.139
2,7.889
2,59.289
2,4.759
2,12.936
2,5.93
2,11.576
2,4.799
2,4.744
2,9.736
2,4.344
2,5.688
2,4.978
2,6.254
2,4.144
2,5.194
2,4.494
2,5.017
2,7.173
2,5.718
2,7.732
2,5.448
2,4.818
2,5.254
2,4.704
2,3.88
2,4.33
2,3.576
2,6.103
2,3.567
2,3.065
2,4.807
2,5.44
2,3.152
2,3.048
2,3.048
2,3.16
2,4.032
2,3.088
2,3.015
2,3.016
2,2.937
2,2.953
2,3.815
2,2.951
2,3.0
2,3.04
2,2.863
2,3.072
2,2.864
2,4.112
2,3.425
2,2.919
2,4.256
2,4.413
2,3.339
2,4.783
2,4.894
2,3.455
2,18.794
2,4.785
2,5.834
2,8.798
2,4.03
2,3.151
2,3.546
2,11.6
2,3.156
2,4.567
2,3.583
2,4.174
2,10.784
2,3.092
2,3.419
2,5.406
2,4.558
2,4.424
2,11.095
2,3.078
2,3.768
2,6.27
2,4.776
2,3.902
2,2.726
2,3.47
2,5.983
2,6.25
2,12.531
2,3.788
2,3.704
2,5.274
2,4.238
2,3.224
2,2.848
2,3.289
2,3.311
2,3.576
2,3.217
2,2.975
2,3.008
2,2.913
2,3.143
2,4.361
2,4.383
2,6.048
2,3.624
2,5.0
2,4.016
2,2.8
2,2.952
2,3.56
2,2.697
2,3.264
2,3.735
2,4.265
2,5.072
2,3.128
2,3.96
2,3.792
2,3.624
2,4.055
2,5.159
2,109.689
2,3.455
2,3.64
2,23.857
2,3.248
2,7.639
2,4.177
2,3.136
2,4.144
2,3.807
2,3.569
2,2.76
2,3.112
2,2.969
2,3.077
2,3.248
2,3.201
2,5.904
2,7.799
2,3.649
2,3.392
2,3.96
2,3.016
2,3.791
2,2.895
2,8.53
2,21.871
2,7.847
2,11.344
2,4.231
2,7.231
2,4.513
2,8.624
2,3.44
2,4.121
2,4.942
2,4.176
2,5.055
2,3.968
2,11.631
2,4.842
2,4.55
2,3.362
2,4.52
2,3.639
2,5.552
2,3.72
2,4.68
2,4.087
2,5.376
2,6.616
2,3.407
2,13.775
2,5.748
2,4.023
2,7.488
2,4.496
2,7.336
2,4.52
2,5.136
2,3.176
2,3.352
2,3.175
2,3.289
2,5.032
2,5.743
2,5.129
2,6.775
2,3.456
2,3.304
2,5.169
2,4.664
2,3.056
2,5.599
2,4.519
2,10.642
2,3.669
2,4.88
2,3.392
2,3.376
2,3.2
2,3.365
2,5.011
2,3.36
2,4.912
2,6.769
2,6.487
2,5.376
2,4.546
2,5.365
2,4.913
2,8.871
2,5.376
2,4.992
2,5.144
2,5.338
2,5.384
2,4.661
2,4.944
2,4.504
2,6.32
2,8.751
2,5.251
2,5.18
2,5.888
2,5.352
2,6.283
2,4.669
2,6.648
2,3.928
2,4.208
2,4.287
2,3.887
2,3.937
2,4.072
2,7.409
2,7.686
2,5.037
2,4.622
2,6.37
2,5.186
2,4.307
2,4.742
2,7.553
2,4.556
2,4.247
2,4.23
2,5.49
2,5.089
2,4.463
2,5.105
2,4.197
2,4.993
2,4.298
2,4.594
2,16.235
2,6.626
2,5.192
2,5.112
2,5.586
2,4.384
2,4.659
2,4.754
2,4.711
2,4.435
2,4.252
2,16.87
2,19.463
2,80.526
2,17.781
2,14.394
2,13.721
2,17.7
2,17.267
2,11.805
2,15.402
2,16.563
2,4.738
2,4.215
2,3.979
2,7.212
2,4.927
2,7.579
2,5.066
2,5.331
2,4.416
2,4.328
2,5.846
2,6.282
2,5.111
2,6.681
2,5.392
2,4.464
2,5.253
2,4.54
2,4.86
2,6.36
2,6.08
2,3.779
2,4.441
2,3.919
2,4.9
2,4.041
2,4.901
2,7.72
2,4.359
2,6.6
2,3.459
2,3.381
2,3.439
2,3.12
2,3.752
2,3.289
2,5.019
2,3.38
2,3.22
2,3.001
2,3.14
2,4.741
2,4.638
2,3.301
2,3.199
2,3.121
2,3.18
2,3.159
2,6.88
2,6.82
2,5.219
2,7.382
2,6.97
2,6.968
2,5.061
2,5.8
2,5.99
2,4.124
2,6.106
2,230.463
2,6.727
2,4.886
2,5.193
2,4.52
2,4.204
2,4.348
2,7.138
2,4.198
2,4.172
