num_images_per_question,time_per_question
2,6.231
2,3.681
2,3.025
2,3.207
2,20.065
2,2.359
2,3.185
2,2.759
2,3.28
2,2.79
2,4.771
2,20.038
2,32.29
2,4.8
2,2.519
2,2.973
2,4.436
2,3.286
2,3.839
2,3.193
2,2.525
2,3.027
2,4.542
2,3.522
2,4.013
2,2.939
2,3.279
2,3.857
2,2.976
2,2.768
2,5.967
2,2.92
2,2.807
2,6.535
2,3.313
2,3.696
2,2.991
2,3.696
2,2.438
2,2.682
2,8.337
2,3.64
2,2.416
2,3.432
2,2.32
2,3.128
2,3.608
2,2.791
2,2.76
2,2.912
2,4.016
2,2.815
2,3.097
2,2.072
2,2.487
2,2.416
2,3.904
2,2.32
2,2.488
2,3.425
2,3.831
2,2.392
2,3.4
2,2.319
2,3.665
2,1.937
2,2.031
2,3.361
2,2.671
2,2.952
2,3.2
2,2.816
2,3.041
2,2.375
2,2.602
2,2.358
2,3.456
2,2.936
2,2.408
2,4.056
2,2.826
2,3.334
2,2.296
2,2.072
2,2.04
2,2.25
2,2.231
2,2.206
2,2.272
2,2.728
2,3.908
2,9.059
2,2.058
2,1.541
2,1.923
2,1.949
2,2.055
2,2.134
2,2.681
2,1.937
2,4.103
2,1.586
2,1.93
2,1.415
2,2.176
2,1.577
2,1.387
2,5.392
2,1.535
2,1.307
2,3.51
2,1.689
2,1.388
2,1.918
2,1.686
2,1.366
2,1.367
2,1.526
2,1.589
2,1.977
2,7.872
2,3.201
2,4.614
2,3.503
2,5.624
2,2.96
2,2.976
2,3.576
2,3.49
2,2.558
2,3.409
2,2.813
2,3.621
2,4.087
2,4.505
2,4.746
2,3.931
2,3.072
2,2.992
2,4.088
2,7.344
2,2.739
2,2.773
2,2.352
2,2.981
2,2.859
2,2.481
2,3.279
2,2.875
2,3.205
2,5.047
2,3.314
2,4.548
2,3.066
2,3.239
2,2.53
2,3.234
2,2.63
2,2.418
2,3.999
2,3.939
2,4.116
2,2.724
2,5.308
2,5.08
2,2.703
2,2.865
2,3.22
2,2.716
2,7.446
2,2.3
2,2.206
2,5.944
2,2.718
2,2.88
2,5.922
2,2.528
2,2.38
2,4.051
2,3.494
2,4.456
2,4.585
2,2.696
2,4.576
2,4.531
2,3.17
2,3.675
2,3.332
2,3.553
2,4.129
2,3.594
2,3.986
2,3.655
2,3.644
2,3.51
2,3.891
2,3.746
2,3.097
2,2.871
2,3.314
2,3.694
2,3.61
2,3.062
2,3.407
2,2.877
2,2.821
2,4.425
2,3.92
2,3.898
2,3.016
2,5.339
2,3.161
2,2.32
2,3.061
2,2.683
2,6.182
2,2.506
2,5.721
2,2.728
2,1.825
2,2.063
2,3.726
2,1.985
2,3.083
2,1.851
2,1.821
2,3.679
2,2.311
2,4.095
2,2.768
2,2.604
2,4.509
2,1.843
2,2.349
2,2.877
2,4.614
2,1.922
2,2.001
2,2.572
2,4.708
2,7.117
2,10.258
2,4.141
2,3.155
2,4.448
2,6.853
2,3.634
2,9.096
2,7.702
2,3.995
2,4.743
2,7.286
2,3.384
2,2.928
2,3.368
2,2.794
2,2.478
2,7.146
2,4.041
2,2.825
2,3.856
2,4.006
2,3.04
2,3.963
2,3.373
2,3.009
2,3.072
2,2.953
2,3.302
2,6.024
2,34.476
2,3.94
2,3.34
2,3.38
2,3.219
2,2.903
2,3.63
2,12.835
