num_images_per_question,time_per_question
2,6.338
2,4.952
2,4.605
2,4.545
2,4.465
2,6.001
2,4.303
2,4.566
2,4.368
2,5.353
2,4.377
2,4.255
2,4.12
2,4.334
2,5.145
2,4.489
2,4.32
2,4.095
2,3.935
2,4.345
2,4.743
2,4.407
2,4.602
2,4.619
2,4.563
2,4.632
2,4.272
2,4.257
2,4.439
2,4.615
2,9.789
2,6.026
2,9.582
2,7.745
2,7.294
2,8.286
2,11.251
2,4.555
2,12.449
2,9.522
2,8.084
2,4.901
2,5.367
2,10.073
2,6.714
2,11.309
2,3.678
2,4.145
2,7.715
2,5.263
2,5.82
2,10.846
2,5.358
2,6.57
2,4.152
2,7.966
2,6.927
2,11.882
2,4.15
2,4.979
2,13.027
2,4.95
2,6.232
2,4.826
2,8.336
2,4.376
2,4.77
2,4.612
2,14.006
2,6.605
2,8.604
2,4.623
2,5.558
2,4.195
2,4.793
2,7.876
2,3.634
2,5.568
2,6.457
2,4.793
2,3.599
2,5.21
2,6.783
2,6.401
2,5.614
2,9.879
2,3.947
2,4.748
2,6.547
2,6.39
2,10.161
2,12.349
2,10.03
2,8.214
2,11.316
2,10.761
2,12.33
2,8.72
2,7.509
2,7.805
2,11.194
2,8.048
2,8.15
2,8.828
2,6.5
2,7.19
2,6.627
2,6.573
2,6.83
2,6.639
2,6.291
2,8.6
2,5.959
2,12.759
2,10.912
2,6.92
2,8.329
2,7.44
2,12.209
2,7.99
2,3.008
2,2.4
2,2.488
2,2.76
2,3.048
2,7.745
2,2.567
2,2.344
2,2.568
2,2.481
2,2.535
2,2.536
2,3.335
2,3.906
2,2.533
2,2.464
2,3.737
2,2.311
2,2.263
2,3.586
2,4.783
2,3.568
2,2.152
2,2.377
2,2.991
2,2.232
2,2.464
2,2.169
2,2.368
2,4.87
2,7.767
2,4.151
2,5.304
2,3.544
2,4.767
2,3.186
2,4.958
2,3.302
2,3.089
2,4.064
2,2.921
2,8.263
2,3.728
2,6.584
2,5.504
2,4.314
2,2.533
2,11.544
2,4.344
2,5.511
2,2.608
2,4.529
2,3.735
2,3.584
2,10.328
2,5.361
2,3.117
2,2.896
2,3.408
2,4.104
2,7.058
2,3.698
2,3.567
2,3.921
2,6.756
2,3.745
2,10.3
2,5.64
2,6.67
2,5.49
2,4.26
2,4.31
2,4.063
2,4.237
2,3.881
2,4.551
2,3.818
2,9.83
2,5.303
2,3.957
2,4.519
2,4.13
2,3.64
2,3.8
2,4.42
2,3.521
2,3.659
2,6.395
2,5.254
2,3.87
2,6.384
2,6.976
2,5.624
2,11.8
2,4.144
2,6.072
2,6.439
2,8.168
2,4.664
2,5.248
2,6.736
2,5.024
2,8.24
2,11.536
2,3.664
2,5.12
2,4.408
2,7.136
2,11.558
2,3.632
2,10.898
2,5.2
2,3.176
2,4.305
2,4.279
2,4.368
2,3.6
2,3.696
2,4.104
2,4.792
2,7.361
2,9.079
2,15.36
2,8.579
2,6.08
2,6.284
2,8.616
2,6.159
2,5.499
2,7.699
2,5.66
2,5.819
2,7.12
2,5.521
2,5.98
2,5.181
2,6.208
2,5.43
2,8.8
2,6.68
2,9.34
2,8.24
2,8.24
2,6.719
2,10.141
2,5.502
2,7.737
2,5.39
2,5.989
2,5.541
2,5.96
2,5.984
2,5.359
2,6.6
2,5.144
2,5.216
2,5.705
2,5.695
2,6.392
