num_images_per_question,time_per_question
2,15.18
2,4.008
2,3.622
2,4.265
2,6.271
2,3.129
2,4.198
2,3.728
2,8.23
2,5.183
2,11.023
2,3.266
2,9.052
2,4.016
2,5.071
2,3.127
2,3.176
2,2.903
2,2.983
2,3.312
2,13.926
2,5.376
2,8.022
2,3.23
2,5.786
2,3.214
2,3.104
2,4.304
2,3.359
2,4.159
2,5.608
2,4.388
2,3.212
2,3.755
2,7.134
2,4.338
2,4.014
2,3.596
2,2.665
2,3.571
2,4.225
2,3.32
2,4.127
2,3.284
2,3.538
2,5.516
2,5.342
2,3.583
2,3.43
2,3.226
2,3.348
2,3.727
2,5.107
2,3.38
2,4.294
2,3.432
2,3.537
2,3.388
2,3.875
2,3.146
2,19.359
2,3.019
2,3.0
2,2.764
2,2.663
2,2.696
2,2.512
2,2.324
2,2.927
2,2.369
2,3.09
2,3.112
2,2.512
2,3.696
2,2.817
2,3.835
2,2.46
2,2.484
2,3.212
2,2.368
2,2.492
2,2.424
2,3.512
2,2.539
2,4.248
2,2.524
2,2.276
2,2.812
2,2.664
2,3.2
2,5.415
2,3.383
2,4.912
2,3.712
2,4.202
2,9.845
2,7.737
2,2.546
2,4.217
2,3.336
2,2.901
2,3.095
2,3.961
2,2.378
2,3.433
2,3.446
2,3.183
2,4.217
2,2.989
2,3.677
2,2.567
2,3.217
2,2.942
2,2.82
2,2.407
2,3.492
2,3.47
2,5.194
2,4.79
2,6.186
2,26.436
2,10.275
2,9.478
2,11.43
2,7.993
2,13.656
2,5.834
2,4.271
2,26.197
2,49.375
2,7.599
2,71.227
2,5.56
2,4.047
2,4.604
2,4.18
2,4.897
2,4.192
2,6.51
2,4.21
2,6.878
2,71.047
2,85.125
2,6.349
2,6.805
2,5.257
2,9.927
2,5.75
2,4.325
2,4.191
2,15.632
2,4.361
2,5.648
2,4.825
2,5.48
2,3.481
2,3.375
2,3.057
2,3.496
2,3.416
2,2.937
2,3.161
2,2.72
2,3.12
2,3.153
2,4.976
2,2.888
2,3.257
2,3.472
2,2.816
2,3.256
2,2.681
2,2.528
2,3.297
2,2.984
2,3.136
2,2.808
2,2.856
2,4.824
2,2.888
2,48.734
2,5.951
2,5.088
2,9.264
2,3.519
2,7.816
2,4.249
2,4.462
2,20.524
2,5.08
2,3.128
2,7.759
2,4.463
2,3.45
2,7.703
2,3.806
2,5.035
2,6.687
2,3.017
2,3.935
2,4.336
2,9.888
2,3.488
2,4.712
2,3.768
2,4.208
2,5.593
2,3.143
2,2.858
2,3.175
2,14.743
2,25.903
2,4.327
2,3.664
2,4.573
2,3.435
2,3.127
2,2.769
2,3.656
2,3.224
2,2.776
2,2.96
2,8.304
2,5.52
2,3.823
2,3.91
2,11.986
2,3.401
2,4.751
2,3.209
2,2.682
2,3.657
2,3.988
2,3.208
2,4.047
2,3.635
2,7.925
2,3.192
2,3.665
2,4.023
2,132.623
2,3.816
2,6.885
2,3.563
2,5.895
2,5.46
2,3.723
2,3.504
2,4.7
2,4.44
2,38.473
2,3.373
2,3.652
2,4.573
2,42.656
2,4.32
2,3.621
2,3.441
2,3.633
2,3.346
2,3.653
2,4.482
2,5.183
2,22.092
2,5.463
2,3.107
2,3.49
2,3.643
2,3.861
2,2.768
2,3.911
2,3.375
2,3.849
2,3.096
2,3.071
2,2.385
2,2.6
2,2.48
2,2.87
2,3.091
2,2.489
2,3.968
2,4.257
2,3.416
2,4.936
2,2.481
2,2.351
2,2.177
2,2.72
2,2.12
2,2.856
2,2.816
2,2.625
2,2.793
2,2.535
2,2.577
2,3.872
2,2.496
2,3.608
2,3.055
2,3.101
2,3.14
2,2.859
2,3.635
2,5.238
2,3.129
2,5.353
2,3.261
2,2.621
2,2.79
2,3.198
2,4.662
2,3.394
2,2.769
2,2.781
2,5.255
2,2.028
2,2.524
2,2.903
2,3.783
2,3.364
2,3.296
2,2.746
2,2.366
2,1.72
2,2.776
2,3.039
2,3.201
2,2.869
2,3.081
2,30.314
2,31.719
2,17.055
2,6.167
2,16.037
2,6.262
2,3.519
2,3.775
2,4.106
2,17.12
2,2.759
2,3.584
2,4.28
2,2.896
2,3.748
2,3.564
2,3.393
2,4.006
2,2.911
2,4.273
2,3.655
2,3.572
2,2.669
2,2.959
2,3.808
2,3.019
2,2.534
2,3.468
2,2.092
2,2.826
2,6.614
2,5.605
2,4.654
2,3.712
2,5.656
2,3.409
2,3.014
2,3.496
2,4.641
2,3.102
2,4.104
2,3.721
2,3.473
2,7.419
2,2.965
2,3.315
2,3.256
2,3.488
2,4.776
2,3.135
