p,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
0.55,1.4606436713316076,I_2,2092,6728,0.31093935790725324,2092,0.31093935790725324,6728
0.55,0.6137979885921875,I_3,3938,13458,0.2926140585525338,2639,0.5882746321890325,4486
0.55,0.47495274331954956,I_4,5720,20184,0.28339278636543797,2648,0.7871581450653984,3364
0.55,0.14930341762266142,I_5,7260,26920,0.26968796433878156,2354,0.87444279346211,2692
0.55,0.03736769012547597,I_6,9298,33645,0.27635607073859414,2114,0.9424877396344182,2243
0.55,1.9700114044951684,I_2,2104,6728,0.31272294887039237,2104,0.31272294887039237,6728
0.55,0.8257165931408839,I_3,4006,13458,0.29766681527715855,2686,0.5987516718680339,4486
0.55,0.4345052734611846,I_4,5723,20184,0.28354141894569956,2659,0.7904280618311534,3364
0.55,0.10292612530393794,I_5,7387,26920,0.274405646359584,2395,0.8896731054977711,2692
0.55,0.11206906972083021,I_6,9093,33645,0.2702630405706643,2121,0.9456085599643335,2243
0.55,2.0886436919371705,I_2,2143,6728,0.31851961950059454,2143,0.31851961950059454,6728
0.55,0.6106099643263184,I_3,3871,13458,0.28763560707385943,2645,0.5896121266161392,4486
0.55,0.16482620089583755,I_4,5668,20184,0.28081648830757033,2610,0.7758620689655172,3364
0.55,0.07470204636204081,I_5,7385,26920,0.27433135215453197,2384,0.8855869242199108,2692
0.55,0.0,I_6,9185,33645,0.2729974736216377,2118,0.944271065537227,2243
0.55,1.7677351954048321,I_2,2074,6728,0.3082639714625446,2074,0.3082639714625446,6728
0.55,0.6658641320865195,I_3,3963,13458,0.2944716897012929,2647,0.5900579580918413,4486
0.55,0.2985988552244878,I_4,5696,20184,0.28220372572334523,2619,0.7785374554102259,3364
0.55,0.13317717646715857,I_5,7396,26920,0.274739970282318,2364,0.8781575037147102,2692
0.55,0.07470170964469743,I_6,9060,33645,0.2692822113241195,2095,0.9340169415960767,2243
0.55,1.8294742328452602,I_2,2188,6728,0.32520808561236625,2188,0.32520808561236625,6728
0.55,0.501386022665687,I_3,3891,13458,0.2891217119928667,2634,0.5871600534997771,4486
0.55,0.2524840461939432,I_4,5537,20184,0.2743261989694808,2570,0.7639714625445898,3364
0.55,0.07470170964469744,I_5,7503,26920,0.2787147102526003,2377,0.8829866270430906,2692
0.55,0.10272709897863067,I_6,9158,33645,0.27219497696537376,2101,0.9366919304502898,2243
0.6000000000000001,1.542246017556139,I_2,2051,6728,0.30484542211652793,2051,0.30484542211652793,6728
0.6000000000000001,0.4752297502130944,I_3,3567,13458,0.26504681230494875,2464,0.5492643780650914,4486
0.6000000000000001,0.06549275107679947,I_4,5122,20184,0.25376535869996036,2419,0.7190844233055886,3364
0.6000000000000001,0.0,I_5,6611,26920,0.24557949479940563,2248,0.8350668647845468,2692
0.6000000000000001,0.0,I_6,8109,33645,0.241016495764601,2008,0.8952296032099867,2243
0.6000000000000001,1.8928536530982063,I_2,2064,6728,0.30677764565992865,2064,0.30677764565992865,6728
0.6000000000000001,0.36957640327800506,I_3,3567,13458,0.26504681230494875,2448,0.5456977262594739,4486
0.6000000000000001,0.06549275107679946,I_4,5245,20184,0.2598592944906857,2467,0.7333531510107015,3364
0.6000000000000001,0.0,I_5,6601,26920,0.2452080237741456,2229,0.8280089153046062,2692
0.6000000000000001,0.0,I_6,7990,33645,0.23747956605736364,1998,0.8907712884529648,2243
0.6000000000000001,1.5338137727730448,I_2,2020,6728,0.30023781212841855,2020,0.30023781212841855,6728
0.6000000000000001,0.42436180742205787,I_3,3627,13458,0.26950512706197055,2465,0.5494872938029425,4486
0.6000000000000001,0.14930341762266142,I_4,5214,20184,0.25832342449464923,2440,0.7253269916765755,3364
0.6000000000000001,0.03736769012547598,I_5,6628,26920,0.2462109955423477,2241,0.8324665676077266,2692
0.6000000000000001,0.0,I_6,7934,33645,0.2358151285480755,1996,0.8898796255015604,2243
0.6000000000000001,1.3558658750284125,I_2,2072,6728,0.3079667063020214,2072,0.3079667063020214,6728
0.6000000000000001,0.28244697993964824,I_3,3567,13458,0.26504681230494875,2443,0.5445831475702184,4486
0.6000000000000001,0.20548452078967872,I_4,5162,20184,0.2557471264367816,2451,0.7285969084423306,3364
0.6000000000000001,0.03736769012547598,I_5,6490,26920,0.2410846953937593,2206,0.8194650817236255,2692
0.6000000000000001,0.0,I_6,7951,33645,0.23632040422053796,1991,0.8876504681230495,2243
0.6000000000000001,1.518507777116532,I_2,1981,6728,0.29444114149821643,1981,0.29444114149821643,6728
0.6000000000000001,0.1773274463429473,I_3,3532,13458,0.262446128696686,2443,0.5445831475702184,4486
0.6000000000000001,0.07470170964469743,I_4,5295,20184,0.2623365041617122,2501,0.7434601664684899,3364
0.6000000000000001,0.03736769012547598,I_5,6522,26920,0.24227340267459138,2207,0.8198365527488856,2692
0.6000000000000001,0.0,I_6,8120,33645,0.24134343884678258,2014,0.8979045920641997,2243
0.65,0.9526252757462318,I_2,1918,6728,0.285077288941736,1918,0.285077288941736,6728
0.65,0.03736769012547598,I_3,3228,13458,0.2398573339277753,2216,0.49398127507802053,4486
0.65,0.03736769012547598,I_4,4590,20184,0.22740784780023782,2238,0.6652794292508918,3364
0.65,0.03736769012547598,I_5,5614,26920,0.2085438335809807,2024,0.7518573551263001,2692
0.65,0.0,I_6,6605,33645,0.19631445980086193,1816,0.8096299598751672,2243
0.65,1.0660423413282407,I_2,1914,6728,0.28448275862068967,1914,0.28448275862068967,6728
0.65,0.33781404817827165,I_3,3351,13458,0.2489968791796701,2302,0.5131520285332144,4486
0.65,0.0,I_4,4389,20184,0.21744946492271106,2139,0.6358501783590963,3364
0.65,0.0,I_5,5512,26920,0.20475482912332837,2004,0.7444279346210996,2692
0.65,0.0,I_6,6445,33645,0.19155892406003863,1797,0.8011591618368257,2243
0.65,1.2619436282703014,I_2,1930,6728,0.28686087990487513,1930,0.28686087990487513,6728
0.65,0.0,I_3,3238,13458,0.24060038638727893,2228,0.4966562639322336,4486
0.65,0.0,I_4,4692,20184,0.232461355529132,2250,0.66884661117717,3364
0.65,0.0,I_5,5628,26920,0.20906389301634473,2044,0.7592867756315007,2692
0.65,0.0,I_6,6504,33645,0.19331252786446723,1801,0.8029424877396344,2243
0.65,1.6273895660597835,I_2,1940,6728,0.28834720570749106,1940,0.28834720570749106,6728
0.65,0.16815351232695103,I_3,3230,13458,0.24000594441967604,2194,0.48907712884529647,4486
0.65,0.03736769012547597,I_4,4490,20184,0.2224534284581847,2218,0.6593341260404281,3364
0.65,0.0,I_5,5543,26920,0.20590638930163446,1982,0.736255572065379,2692
0.65,0.0,I_6,6713,33645,0.19952444642591766,1835,0.8181007579135087,2243
0.65,1.2219345558956967,I_2,1895,6728,0.28165873959571935,1895,0.28165873959571935,6728
0.65,0.07476838409051992,I_3,3250,13458,0.24149204933868332,2228,0.4966562639322336,4486
0.65,0.03736769012547597,I_4,4472,20184,0.22156163297661513,2199,0.6536860879904876,3364
0.65,0.0,I_5,5731,26920,0.21289004457652302,2038,0.7570579494799405,2692
0.65,0.0,I_6,6614,33645,0.19658195868628325,1816,0.8096299598751672,2243
0.7000000000000001,0.8861473774753322,I_2,1765,6728,0.2623365041617122,1765,0.2623365041617122,6728
0.7000000000000001,0.03736769012547597,I_3,2966,13458,0.2203893594887799,2051,0.4572001783325903,4486
0.7000000000000001,0.0,I_4,3665,20184,0.18157946888624654,1887,0.5609393579072532,3364
0.7000000000000001,0.0,I_5,4494,26920,0.16693907875185734,1765,0.6556463595839525,2692
0.7000000000000001,0.0,I_6,5088,33645,0.151226036558181,1566,0.6981720909496211,2243
0.7000000000000001,0.8387084005939078,I_2,1829,6728,0.27184898929845425,1829,0.27184898929845425,6728
0.7000000000000001,0.0,I_3,3038,13458,0.22573933719720612,2090,0.4658938921087829,4486
0.7000000000000001,0.0,I_4,3933,20184,0.19485731272294887,1950,0.579667063020214,3364
0.7000000000000001,0.0,I_5,4450,26920,0.16530460624071322,1721,0.6393016344725111,2692
0.7000000000000001,0.0,I_6,4828,33645,0.14349829097934313,1535,0.6843513152028533,2243
0.7000000000000001,0.8345983554420617,I_2,1807,6728,0.2685790725326992,1807,0.2685790725326992,6728
0.7000000000000001,0.03736769012547598,I_3,3041,13458,0.22596225293505723,2111,0.4705751226036558,4486
0.7000000000000001,0.0,I_4,3976,20184,0.1969877130400317,1968,0.5850178359096314,3364
0.7000000000000001,0.0,I_5,4454,26920,0.16545319465081723,1772,0.6582466567607727,2692
0.7000000000000001,0.0,I_6,5074,33645,0.15080992718085898,1580,0.7044137316094516,2243
0.7000000000000001,0.9705337559470428,I_2,1860,6728,0.27645659928656363,1860,0.27645659928656363,6728
0.7000000000000001,0.11203640259860567,I_3,2881,13458,0.21407341358299897,1988,0.4431564868479715,4486
0.7000000000000001,0.0,I_4,3872,20184,0.19183511692429647,1988,0.5909631391200951,3364
0.7000000000000001,0.0,I_5,4736,26920,0.1759286775631501,1814,0.673848439821694,2692
0.7000000000000001,0.0,I_6,5216,33645,0.15503046515083965,1602,0.7142220240748997,2243
0.7000000000000001,0.9780100792350039,I_2,1712,6728,0.2544589774078478,1712,0.2544589774078478,6728
0.7000000000000001,0.11203640259860567,I_3,2940,13458,0.21845742309407043,2037,0.454079358002675,4486
0.7000000000000001,0.0,I_4,3759,20184,0.18623662306777647,1930,0.5737217598097503,3364
0.7000000000000001,0.0,I_5,4564,26920,0.16953937592867757,1766,0.6560178306092125,2692
0.7000000000000001,0.0,I_6,4918,33645,0.14617327983355624,1547,0.6897012929112796,2243
0.75,0.7889099532546137,I_2,1651,6728,0.24539239001189062,1651,0.24539239001189062,6728
0.75,0.0,I_3,2704,13458,0.20092138504978452,1924,0.42888987962550157,4486
0.75,0.0,I_4,3253,20184,0.1611672611969877,1704,0.5065398335315101,3364
0.75,0.0,I_5,3560,26920,0.13224368499257058,1516,0.563150074294205,2692
0.75,0.0,I_6,3550,33645,0.10551344924951701,1303,0.5809184128399465,2243
0.75,0.4218074952196771,I_2,1647,6728,0.24479785969084422,1647,0.24479785969084422,6728
0.75,0.0,I_3,2525,13458,0.18762074602466935,1800,0.4012483281319661,4486
0.75,0.0,I_4,3216,20184,0.15933412604042807,1696,0.5041617122473246,3364
0.75,0.0,I_5,3476,26920,0.12912332838038634,1462,0.5430906389301634,2692
0.75,0.0,I_6,3570,33645,0.10610789121711993,1262,0.5626393223361569,2243
0.75,0.6883390222675674,I_2,1671,6728,0.24836504161712247,1671,0.24836504161712247,6728
0.75,0.03736769012547598,I_3,2597,13458,0.19297072373309557,1855,0.4135086937137762,4486
0.75,0.0,I_4,3224,20184,0.15973047958779232,1684,0.5005945303210464,3364
0.75,0.0,I_5,3451,26920,0.12819465081723624,1471,0.5464338781575037,2692
0.75,0.0,I_6,3617,33645,0.10750482984098678,1295,0.5773517610343291,2243
0.75,0.8016132604830218,I_2,1754,6728,0.2607015457788347,1754,0.2607015457788347,6728
0.75,0.06549275107679946,I_3,2715,13458,0.2017387427552385,1884,0.41997325011145786,4486
0.75,0.0,I_4,3275,20184,0.16225723345223939,1731,0.5145659928656362,3364
0.75,0.0,I_5,3407,26920,0.12656017830609212,1482,0.5505200594353641,2692
0.75,0.0,I_6,3602,33645,0.10705899836528458,1291,0.5755684351315203,2243
0.75,0.3320373229279951,I_2,1586,6728,0.23573127229488705,1586,0.23573127229488705,6728
0.75,0.0,I_3,2588,13458,0.19230197651954228,1793,0.3996879179670085,4486
0.75,0.0,I_4,3049,20184,0.15106024573919938,1648,0.48989298454221164,3364
0.75,0.0,I_5,3658,26920,0.13588410104011886,1554,0.5772659732540861,2692
0.75,0.0,I_6,3495,33645,0.103878733838609,1273,0.5675434685688809,2243
0.8,0.4445312797500006,I_2,1564,6728,0.232461355529132,1564,0.232461355529132,6728
0.8,0.0,I_3,2309,13458,0.1715708128993907,1659,0.36981720909496213,4486
0.8,0.0,I_4,2624,20184,0.13000396353547364,1445,0.42954815695600473,3364
0.8,0.0,I_5,2722,26920,0.10111441307578009,1258,0.4673105497771174,2692
0.8,0.0,I_6,2497,33645,0.07421607965522366,1025,0.4569772625947392,2243
0.8,0.5028024340607908,I_2,1583,6728,0.23528537455410226,1583,0.23528537455410226,6728
0.8,0.0,I_3,2321,13458,0.17246247585079508,1628,0.36290682122157825,4486
0.8,0.0,I_4,2595,20184,0.12856718192627825,1409,0.41884661117717004,3364
0.8,0.0,I_5,2644,26920,0.09821693907875186,1217,0.45208023774145617,2692
0.8,0.0,I_6,2391,33645,0.07106553722692822,1005,0.4480606330806955,2243
0.8,0.4603103619362953,I_2,1538,6728,0.22859690844233055,1538,0.22859690844233055,6728
0.8,0.0,I_3,2276,13458,0.1691187397830287,1601,0.3568880962995988,4486
0.8,0.0,I_4,2576,20184,0.12762584225128815,1428,0.4244946492271106,3364
0.8,0.0,I_5,2656,26920,0.09866270430906389,1199,0.44539375928677566,2692
0.8,0.0,I_6,2683,33645,0.07974438995393075,1074,0.47882300490414625,2243
0.8,0.534809796743085,I_2,1608,6728,0.2390011890606421,1608,0.2390011890606421,6728
0.8,0.0,I_3,2307,13458,0.17142220240748998,1654,0.36870263040570667,4486
0.8,0.0,I_4,2739,20184,0.13570154577883473,1446,0.42984542211652793,3364
0.8,0.0,I_5,2593,26920,0.09632243684992571,1203,0.4468796433878158,2692
0.8,0.0,I_6,2621,33645,0.07790161985436171,1029,0.4587605884975479,2243
0.8,0.47286176973621097,I_2,1623,6728,0.241230677764566,1623,0.241230677764566,6728
0.8,0.0,I_3,2280,13458,0.16941596076683013,1623,0.3617922425323228,4486
0.8,0.0,I_4,2578,20184,0.1277249306381292,1423,0.4230083234244946,3364
0.8,0.0,I_5,2622,26920,0.09739970282317979,1203,0.4468796433878158,2692
0.8,0.0,I_6,2405,33645,0.07148164660425026,963,0.4293357111012037,2243
0.8500000000000001,0.36516906519677395,I_2,1486,6728,0.2208680142687277,1486,0.2208680142687277,6728
0.8500000000000001,0.0,I_3,2018,13458,0.14994798632783474,1414,0.3152028533214445,4486
0.8500000000000001,0.0,I_4,2090,20184,0.10354736424891003,1191,0.35404280618311534,3364
0.8500000000000001,0.0,I_5,1927,26920,0.07158246656760772,983,0.3651560178306092,2692
0.8500000000000001,0.0,I_6,1754,33645,0.05213256055877545,796,0.3548818546589389,2243
0.8500000000000001,0.5506567139302405,I_2,1490,6728,0.22146254458977407,1490,0.22146254458977407,6728
0.8500000000000001,0.0,I_3,1966,13458,0.1460841135384158,1405,0.31319661168078466,4486
0.8500000000000001,0.0,I_4,2163,20184,0.1071640903686088,1227,0.36474435196195004,3364
0.8500000000000001,0.0,I_5,1992,26920,0.07399702823179792,980,0.3640416047548291,2692
0.8500000000000001,0.0,I_6,1714,33645,0.05094367662356963,799,0.35621934908604547,2243
0.8500000000000001,0.4210157734733741,I_2,1504,6728,0.2235434007134364,1504,0.2235434007134364,6728
0.8500000000000001,0.0,I_3,1958,13458,0.1454896715708129,1395,0.31096745430227374,4486
0.8500000000000001,0.0,I_4,2088,20184,0.10344827586206896,1200,0.356718192627824,3364
0.8500000000000001,0.0,I_5,1978,26920,0.07347696879643388,991,0.3681277860326895,2692
0.8500000000000001,0.0,I_6,1714,33645,0.05094367662356963,785,0.3499777084262149,2243
0.8500000000000001,0.30502086343520146,I_2,1470,6728,0.21848989298454222,1470,0.21848989298454222,6728
0.8500000000000001,0.0,I_3,1987,13458,0.14764452370337347,1426,0.3178778421756576,4486
0.8500000000000001,0.0,I_4,2019,20184,0.10002972651605233,1168,0.34720570749108204,3364
0.8500000000000001,0.0,I_5,1956,26920,0.07265973254086182,982,0.36478454680534916,2692
0.8500000000000001,0.0,I_6,1616,33645,0.04803091098231535,741,0.33036112349531876,2243
0.8500000000000001,0.40656197755583,I_2,1503,6728,0.2233947681331748,1503,0.2233947681331748,6728
0.8500000000000001,0.0,I_3,2000,13458,0.1486104919007282,1424,0.3174320106999554,4486
0.8500000000000001,0.0,I_4,2082,20184,0.10315101070154578,1191,0.35404280618311534,3364
0.8500000000000001,0.0,I_5,1976,26920,0.07340267459138188,981,0.36441307578008914,2692
0.8500000000000001,0.0,I_6,1770,33645,0.05260811413285778,805,0.3588943379402586,2243
0.9,0.2893477540455866,I_2,1357,6728,0.20169441141498218,1357,0.20169441141498218,6728
0.9,0.0,I_3,1741,13458,0.12936543319958388,1235,0.27530093624609897,4486
0.9,0.0,I_4,1596,20184,0.07907253269916766,962,0.2859690844233056,3364
0.9,0.0,I_5,1364,26920,0.050668647845468054,757,0.2812035661218425,2692
0.9,0.0,I_6,1068,33645,0.03174320106999554,557,0.2483281319661168,2243
0.9,0.23331054708096124,I_2,1337,6728,0.1987217598097503,1337,0.1987217598097503,6728
0.9,0.0,I_3,1698,13458,0.12617030762371823,1205,0.2686134641105662,4486
0.9,0.0,I_4,1605,20184,0.07951843043995244,952,0.28299643281807374,3364
0.9,0.0,I_5,1385,26920,0.051448736998514114,745,0.27674591381872216,2692
0.9,0.0,I_6,1068,33645,0.03174320106999554,532,0.2371823450735622,2243
0.9,0.24543901082064498,I_2,1296,6728,0.19262782401902498,1296,0.19262782401902498,6728
0.9,0.0,I_3,1662,13458,0.12349531876950513,1186,0.26437806509139544,4486
0.9,0.0,I_4,1614,20184,0.07996432818073722,959,0.285077288941736,3364
0.9,0.0,I_5,1439,26920,0.053454680534918274,748,0.27786032689450224,2692
0.9,0.0,I_6,1113,33645,0.033080695497102096,558,0.24877396344181898,2243
0.9,0.1925198498292301,I_2,1347,6728,0.20020808561236622,1347,0.20020808561236622,6728
0.9,0.0,I_3,1710,13458,0.1270619705751226,1246,0.277753009362461,4486
0.9,0.0,I_4,1615,20184,0.08001387237415775,976,0.2901307966706302,3364
0.9,0.0,I_5,1403,26920,0.05211738484398217,774,0.287518573551263,2692
0.9,0.0,I_6,1158,33645,0.03441818992420865,586,0.26125724476148016,2243
0.9,0.23574084271128104,I_2,1331,6728,0.19782996432818073,1331,0.19782996432818073,6728
0.9,0.0,I_3,1733,13458,0.128770991231981,1244,0.2773071778867588,4486
0.9,0.0,I_4,1576,20184,0.07808164883075704,950,0.28240190249702735,3364
0.9,0.0,I_5,1406,26920,0.05222882615156018,772,0.2867756315007429,2692
0.9,0.0,I_6,1159,33645,0.034447912022588796,604,0.2692822113241195,2243
0.95,0.30773979894105324,I_2,1254,6728,0.18638525564803804,1254,0.18638525564803804,6728
0.95,0.0,I_3,1475,13458,0.10960023777678704,1013,0.2258136424431565,4486
0.95,0.0,I_4,1206,20184,0.059750297265160526,762,0.22651605231866825,3364
0.95,0.0,I_5,930,26920,0.034546805349182766,549,0.2039375928677563,2692
0.95,0.0,I_6,783,33645,0.023272403031654034,415,0.1850200624164066,2243
0.95,0.03736769012547598,I_2,1288,6728,0.19143876337693222,1288,0.19143876337693222,6728
0.95,0.0,I_3,1382,13458,0.10268984990340319,990,0.22068658047258136,4486
0.95,0.0,I_4,1239,20184,0.061385255648038047,769,0.22859690844233055,3364
0.95,0.0,I_5,1026,26920,0.03811292719167905,571,0.21210995542347696,2692
0.95,0.0,I_6,777,33645,0.02309407044137316,401,0.17877842175657602,2243
0.95,0.2019961998312484,I_2,1231,6728,0.18296670630202141,1231,0.18296670630202141,6728
0.95,0.0,I_3,1420,13458,0.10551344924951701,1001,0.2231386535889434,4486
0.95,0.0,I_4,1253,20184,0.06207887435592548,770,0.22889417360285375,3364
0.95,0.0,I_5,1019,26920,0.037852897473997026,569,0.2113670133729569,2692
0.95,0.0,I_6,764,33645,0.02270768316243127,416,0.1854658938921088,2243
0.95,0.17771958578829475,I_2,1228,6728,0.18252080856123662,1228,0.18252080856123662,6728
0.95,0.0,I_3,1454,13458,0.1080398276118294,1014,0.22603655818100757,4486
0.95,0.0,I_4,1241,20184,0.06148434403487911,775,0.23038049940546967,3364
0.95,0.0,I_5,975,26920,0.0362184249628529,554,0.20579494799405645,2692
0.95,0.0,I_6,728,33645,0.021637687620746023,396,0.1765492643780651,2243
0.95,0.15581605028852158,I_2,1303,6728,0.1936682520808561,1303,0.1936682520808561,6728
0.95,0.0,I_3,1492,13458,0.11086342695794323,1062,0.23673651359786002,4486
0.95,0.0,I_4,1260,20184,0.0624256837098692,757,0.22502972651605233,3364
0.95,0.0,I_5,1033,26920,0.03837295690936107,586,0.21768202080237742,2692
0.95,0.0,I_6,686,33645,0.020389359488779908,351,0.15648684797146678,2243
1.0,0.13999309010638245,I_2,1127,6728,0.1675089179548157,1127,0.1675089179548157,6728
1.0,0.0,I_3,1137,13458,0.08448506464556398,820,0.18279090503789566,4486
1.0,0.0,I_4,875,20184,0.04335116924296473,560,0.16646848989298454,3364
1.0,0.0,I_5,658,26920,0.024442793462109955,377,0.1400445765230312,2692
1.0,0.0,I_6,478,33645,0.014207163025709615,221,0.09852875613018279,2243
1.0,0.12729581058005413,I_2,1074,6728,0.15963139120095124,1074,0.15963139120095124,6728
1.0,0.0,I_3,1151,13458,0.08552533808886907,816,0.1818992420864913,4486
1.0,0.0,I_4,885,20184,0.043846611177170036,584,0.17360285374554102,3364
1.0,0.0,I_5,665,26920,0.024702823179791975,368,0.13670133729569092,2692
1.0,0.0,I_6,455,33645,0.013523554762966265,224,0.09986625055728934,2243
1.0,0.14930241413863143,I_2,1145,6728,0.17018430439952437,1145,0.17018430439952437,6728
1.0,0.0,I_3,1071,13458,0.07958091841283994,766,0.1707534551939367,4486
1.0,0.0,I_4,884,20184,0.04379706698374951,579,0.1721165279429251,3364
1.0,0.0,I_5,765,26920,0.028417533432392273,421,0.1563893016344725,2692
1.0,0.0,I_6,401,33645,0.011918561450438401,212,0.09451627284886313,2243
1.0,0.10292612530393794,I_2,1107,6728,0.16453626634958382,1107,0.16453626634958382,6728
1.0,0.0,I_3,1146,13458,0.08515381185911726,832,0.1854658938921088,4486
1.0,0.0,I_4,912,20184,0.04518430439952437,584,0.17360285374554102,3364
1.0,0.0,I_5,682,26920,0.025334323922734027,387,0.1437592867756315,2692
1.0,0.0,I_6,445,33645,0.013226333779164809,214,0.0954079358002675,2243
1.0,0.06549275107679946,I_2,1082,6728,0.160820451843044,1082,0.160820451843044,6728
1.0,0.0,I_3,1157,13458,0.08597116956457126,806,0.17967008470798038,4486
1.0,0.0,I_4,873,20184,0.04325208085612366,556,0.16527942925089179,3364
1.0,0.0,I_5,708,26920,0.026300148588410104,410,0.15230312035661217,2692
1.0,0.0,I_6,472,33645,0.01402883043542874,233,0.103878733838609,2243
