p,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
0.55,1.8255558489449135,I_2,2133,6728,0.3170332936979786,2133,0.3170332936979786,6728
0.55,1.3683964071490362,I_3,1879,6729,0.27923911428146825,1282,0.5715559518502006,2243
0.55,1.8682222542455063,I_4,1942,6732,0.2884729649435532,881,0.785204991087344,1122
0.55,1.7802639690247104,I_5,1894,6730,0.2814264487369985,602,0.8945022288261516,673
0.55,1.4340205744936294,I_6,1873,6735,0.2780994803266518,426,0.9487750556792873,449
0.55,1.9736098017522508,I_2,2185,6728,0.32476218787158145,2185,0.32476218787158145,6728
0.55,1.8191695727599722,I_3,1956,6729,0.29068212215782435,1341,0.5978600089166295,2243
0.55,1.4092447593687643,I_4,1862,6732,0.2765894236482472,857,0.7638146167557932,1122
0.55,1.7329655290581902,I_5,1815,6730,0.26968796433878156,595,0.8841010401188707,673
0.55,1.5103691708303189,I_6,1928,6735,0.2862657757980698,422,0.9398663697104677,449
0.55,1.6959951818996646,I_2,2112,6728,0.31391200951248516,2112,0.31391200951248516,6728
0.55,1.47786813449785,I_3,1953,6729,0.29023629068212214,1323,0.5898350423539902,2243
0.55,1.5118382415215814,I_4,1916,6732,0.2846108140225787,885,0.7887700534759359,1122
0.55,1.4268170605872332,I_5,1833,6730,0.27236255572065377,586,0.8707280832095097,673
0.55,1.3449111532112565,I_6,1890,6735,0.2806236080178174,419,0.933184855233853,449
0.55,2.0290018819122695,I_2,2123,6728,0.3155469678953627,2123,0.3155469678953627,6728
0.55,1.2553010917478418,I_3,1905,6729,0.2831029870708872,1311,0.5844850646455639,2243
0.55,1.1377118126562071,I_4,1866,6732,0.27718360071301246,849,0.7566844919786097,1122
0.55,1.4001879683005292,I_5,1857,6730,0.2759286775631501,600,0.8915304606240714,673
0.55,1.7449165421846586,I_6,1846,6735,0.274090571640683,425,0.9465478841870824,449
0.55,1.8730940146765456,I_2,2163,6728,0.3214922711058264,2163,0.3214922711058264,6728
0.55,1.7805882242642057,I_3,1925,6729,0.28607519690890176,1302,0.5804725813642443,2243
0.55,1.5718076493886646,I_4,1842,6732,0.2736185383244207,880,0.7843137254901961,1122
0.55,1.7690395976517408,I_5,1955,6730,0.29049034175334326,600,0.8915304606240714,673
0.55,1.5286192025876884,I_6,1854,6735,0.27527839643652563,429,0.955456570155902,449
0.6000000000000001,1.7494724367409007,I_2,2084,6728,0.3097502972651605,2084,0.3097502972651605,6728
0.6000000000000001,1.2086640524375512,I_3,1773,6729,0.2634864021399911,1216,0.5421310744538564,2243
0.6000000000000001,0.8948885842349079,I_4,1682,6732,0.24985145573380868,795,0.7085561497326203,1122
0.6000000000000001,1.1017182986803495,I_5,1689,6730,0.2509658246656761,560,0.8320950965824666,673
0.6000000000000001,0.7811495843692688,I_6,1635,6735,0.24276169265033407,410,0.9131403118040089,449
0.6000000000000001,1.5421895441241624,I_2,2006,6728,0.2981569560047562,2006,0.2981569560047562,6728
0.6000000000000001,1.0823739028560817,I_3,1768,6729,0.26274334968048746,1194,0.5323227819884084,2243
0.6000000000000001,1.2386659835123401,I_4,1764,6732,0.2620320855614973,820,0.7308377896613191,1122
0.6000000000000001,0.7077097761519044,I_5,1605,6730,0.2384843982169391,555,0.8246656760772659,673
0.6000000000000001,0.627471480770742,I_6,1564,6735,0.23221974758723088,395,0.8797327394209354,449
0.6000000000000001,1.325870098490101,I_2,2036,6728,0.30261593341260407,2036,0.30261593341260407,6728
0.6000000000000001,0.9070444249386126,I_3,1744,6729,0.25917669787486997,1192,0.531431119037004,2243
0.6000000000000001,0.8957693210538034,I_4,1692,6732,0.25133689839572193,810,0.7219251336898396,1122
0.6000000000000001,0.809190271268105,I_5,1634,6730,0.24279346210995542,563,0.836552748885587,673
0.6000000000000001,1.0956515396656001,I_6,1690,6735,0.25092798812175204,404,0.8997772828507795,449
0.6000000000000001,1.446698241645686,I_2,1992,6728,0.29607609988109396,1992,0.29607609988109396,6728
0.6000000000000001,0.959693373536801,I_3,1719,6729,0.25546143557735174,1181,0.52652697280428,2243
0.6000000000000001,0.9811077492179235,I_4,1711,6732,0.2541592394533571,798,0.7112299465240641,1122
0.6000000000000001,1.0742076957075726,I_5,1703,6730,0.25304606240713223,561,0.8335809806835067,673
0.6000000000000001,0.760795849766854,I_6,1592,6735,0.23637713437268004,397,0.8841870824053452,449
0.6000000000000001,1.8204557670761714,I_2,2004,6728,0.2978596908442331,2004,0.2978596908442331,6728
0.6000000000000001,1.1512473688682816,I_3,1779,6729,0.26437806509139544,1224,0.5456977262594739,2243
0.6000000000000001,1.125724079920072,I_4,1699,6732,0.2523767082590612,808,0.7201426024955436,1122
0.6000000000000001,1.051292380491133,I_5,1642,6730,0.2439821693907875,553,0.8216939078751857,673
0.6000000000000001,1.1593518824960647,I_6,1637,6735,0.24305864884929473,412,0.9175946547884187,449
0.65,1.2114094583334416,I_2,1903,6728,0.28284780023781214,1903,0.28284780023781214,6728
0.65,0.9312392540174408,I_3,1675,6729,0.24892257393371972,1148,0.5118145341061079,2243
0.65,0.4763809663121504,I_4,1527,6732,0.2268270944741533,746,0.6648841354723708,1122
0.65,0.4547903980045444,I_5,1458,6730,0.21664190193164934,522,0.7756315007429421,673
0.65,0.33479462920084563,I_6,1320,6735,0.19599109131403117,350,0.779510022271715,449
0.65,1.1739791653763412,I_2,1893,6728,0.2813614744351962,1893,0.2813614744351962,6728
0.65,0.6680440556129088,I_3,1657,6729,0.24624758507950661,1151,0.5131520285332144,2243
0.65,0.8385294732625441,I_4,1484,6732,0.22043969102792632,746,0.6648841354723708,1122
0.65,0.41859724188577313,I_5,1377,6730,0.20460624071322436,492,0.7310549777117384,673
0.65,0.48662684210797313,I_6,1331,6735,0.19762435040831478,373,0.8307349665924276,449
0.65,1.0912340772528395,I_2,1950,6728,0.289833531510107,1950,0.289833531510107,6728
0.65,0.8901296129474984,I_3,1637,6729,0.24327537524149204,1120,0.49933125278644674,2243
0.65,0.7564654802394494,I_4,1527,6732,0.2268270944741533,749,0.6675579322638147,1122
0.65,0.611956962645297,I_5,1393,6730,0.20698365527488854,510,0.7578008915304606,673
0.65,0.7675466582866852,I_6,1420,6735,0.21083890126206384,375,0.8351893095768375,449
0.65,1.228399603468769,I_2,1862,6728,0.27675386444708683,1862,0.27675386444708683,6728
0.65,0.5817966044831042,I_3,1638,6729,0.24342398573339277,1130,0.5037895675434686,2243
0.65,0.5770735592111221,I_4,1474,6732,0.21895424836601307,733,0.6532976827094474,1122
0.65,0.49157622137328594,I_5,1432,6730,0.21277860326894502,505,0.75037147102526,673
0.65,0.43426680664014533,I_6,1346,6735,0.19985152190051966,379,0.844097995545657,449
0.65,1.074524972988158,I_2,1889,6728,0.2807669441141498,1889,0.2807669441141498,6728
0.65,0.4462055449121248,I_3,1561,6729,0.2319809778570367,1098,0.4895229603209987,2243
