p,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
0.55,1.2086998827910298,I_2,4825,15154,0.3183977827636268,4825,0.3183977827636268,15154
0.55,1.149939135558999,I_3,4424,15156,0.29189759831089995,2989,0.5916468725257323,5052
0.55,0.8843607509319261,I_4,4064,15156,0.26814462918975984,1926,0.7624703087885986,2526
0.55,0.7062724393990727,I_5,4007,15160,0.2643139841688654,1330,0.8773087071240105,1516
0.55,0.8635061903369108,I_6,4086,15165,0.26943620178041544,960,0.9495548961424333,1011
0.55,1.489339337435768,I_2,4789,15154,0.31602217236373237,4789,0.31602217236373237,15154
0.55,1.0310946684439233,I_3,4328,15156,0.28556347321192926,2945,0.5829374505146476,5052
0.55,0.9038546488724178,I_4,4261,15156,0.28114278173660595,1957,0.7747426761678543,2526
0.55,0.9172471403888347,I_5,4132,15160,0.2725593667546174,1330,0.8773087071240105,1516
0.55,0.9360716016523527,I_6,4131,15165,0.27240356083086054,951,0.9406528189910979,1011
0.55,1.4358643542008518,I_2,4860,15154,0.3207074039857463,4860,0.3207074039857463,15154
0.55,1.110503185714436,I_3,4351,15156,0.287081024016891,2971,0.5880839271575614,5052
0.55,0.9472360014237551,I_4,4204,15156,0.2773818949590921,1963,0.7771179730799683,2526
0.55,0.8424551845222487,I_5,4179,15160,0.27565963060686016,1341,0.8845646437994723,1516
0.55,0.7170179347515458,I_6,4053,15165,0.26726013847675567,939,0.9287833827893175,1011
0.55,1.1928605804585408,I_2,4815,15154,0.3177378909858783,4815,0.3177378909858783,15154
0.55,1.050137215848519,I_3,4350,15156,0.28701504354711005,2972,0.5882818685669042,5052
0.55,1.0130152017180574,I_4,4392,15156,0.28978622327790976,1985,0.785827395091053,2526
0.55,0.9071113185795877,I_5,4165,15160,0.2747361477572559,1317,0.8687335092348285,1516
0.55,1.1372157559569203,I_6,4165,15165,0.2746455654467524,966,0.9554896142433235,1011
0.55,1.337114168646026,I_2,4861,15154,0.32077339316352116,4861,0.32077339316352116,15154
0.55,1.0097514064534236,I_3,4365,15156,0.28800475059382424,2945,0.5829374505146476,5052
0.55,0.883238928778765,I_4,4306,15156,0.2841119028767485,1979,0.783452098178939,2526
0.55,1.0642945416564091,I_5,4239,15160,0.2796174142480211,1336,0.8812664907651715,1516
0.55,0.8653539345623742,I_6,4126,15165,0.2720738542697,957,0.9465875370919882,1011
0.6000000000000001,1.0902897538235894,I_2,4606,15154,0.30394615283093573,4606,0.30394615283093573,15154
0.6000000000000001,0.6644076190498618,I_3,4144,15156,0.27342306677223543,2838,0.5617577197149644,5052
0.6000000000000001,0.48180369413569646,I_4,3758,15156,0.2479546054367907,1808,0.7157561361836896,2526
0.6000000000000001,0.5020593262987454,I_5,3836,15160,0.25303430079155675,1261,0.8317941952506597,1516
0.6000000000000001,0.397595300538086,I_6,3700,15165,0.24398285525881966,901,0.8911968348170128,1011
0.6000000000000001,0.7599239839455462,I_2,4515,15154,0.29794113765342484,4515,0.29794113765342484,15154
0.6000000000000001,0.5568004277129202,I_3,4048,15156,0.2670889416732647,2772,0.5486935866983373,5052
0.6000000000000001,0.5677353978554108,I_4,3787,15156,0.2498680390604381,1821,0.7209026128266033,2526
