p,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
0.55,0.8639406205308369,I_2,6441,20205,0.3187824795842613,6441,0.3187824795842613,20205
0.55,0.932531530850058,I_2,6300,20205,0.311804008908686,6300,0.311804008908686,20205
0.6625000000000001,0.2767027760464399,I_2,5578,20205,0.276070279633754,5578,0.276070279633754,20205
0.6625000000000001,0.14555977962331523,I_2,5609,20205,0.2776045533283841,5609,0.2776045533283841,20205
0.775,0.0,I_2,4824,20205,0.23875278396436525,4824,0.23875278396436525,20205
0.775,0.08012669268594415,I_2,4906,20205,0.24281118535016086,4906,0.24281118535016086,20205
0.8875,0.0,I_2,4056,20205,0.20074239049740164,4056,0.20074239049740164,20205
0.8875,0.0,I_2,4082,20205,0.2020292006928978,4082,0.2020292006928978,20205
1.0,0.0,I_2,3428,20205,0.1696609750061866,3428,0.1696609750061866,20205
1.0,0.0,I_2,3358,20205,0.1661964860183123,3358,0.1661964860183123,20205
