p,VI,type
0.55,1.1984469029343525,I_2
0.55,1.122600700062765,I_3
0.55,0.9112540431698084,I_4
0.55,0.8522486772590747,I_5
0.55,0.7162681262045623,I_6
0.55,1.440545930252819,I_2
0.55,0.9361388270102942,I_3
0.55,0.9213760249717922,I_4
0.55,0.897343801146412,I_5
0.55,1.0703323949214258,I_6
0.55,1.1440917388608598,I_2
0.55,1.2446435546669443,I_3
0.55,1.0490720526467125,I_4
0.55,0.9814479430130529,I_5
0.55,0.8580467490524237,I_6
0.55,1.584117297238789,I_2
0.55,0.9421222466567625,I_3
0.55,0.9245443128296116,I_4
0.55,0.8228188407337005,I_5
0.55,0.8943818815528051,I_6
0.55,1.3385030847252257,I_2
0.55,0.7195526164138435,I_3
0.55,0.8229674598351439,I_4
0.55,0.7131437638701523,I_5
0.55,0.8988387552755726,I_6
0.6000000000000001,0.9532826518770037,I_2
0.6000000000000001,0.5610167133374043,I_3
0.6000000000000001,0.6843265719528894,I_4
0.6000000000000001,0.48820173612818507,I_5
0.6000000000000001,0.34160663794814533,I_6
0.6000000000000001,0.8289996085535344,I_2
0.6000000000000001,0.6082028622929828,I_3
0.6000000000000001,0.25977564825446886,I_4
0.6000000000000001,0.46181087389744363,I_5
0.6000000000000001,0.6055744196564131,I_6
0.6000000000000001,0.8819302565110632,I_2
0.6000000000000001,0.38988939396119,I_3
0.6000000000000001,0.40373030410240157,I_4
0.6000000000000001,0.639818040656234,I_5
0.6000000000000001,0.45517106660301243,I_6
0.6000000000000001,1.041413110542425,I_2
0.6000000000000001,0.5828010500640578,I_3
0.6000000000000001,0.4759565053775594,I_4
0.6000000000000001,0.3498528098216524,I_5
0.6000000000000001,0.434769091360384,I_6
0.6000000000000001,0.6734423524584192,I_2
0.6000000000000001,0.5693972549724454,I_3
0.6000000000000001,0.5785842372656963,I_4
0.6000000000000001,0.46646142304274896,I_5
0.6000000000000001,0.5448777329521626,I_6
0.65,0.5333095026237118,I_2
0.65,0.45280872327442917,I_3
0.65,0.2273507156750108,I_4
0.65,0.16606682230281403,I_5
0.65,0.20106087373794582,I_6
0.65,0.6607370388493763,I_2
0.65,0.28057020601995303,I_3
0.65,0.25024288894823166,I_4
0.65,0.1126704508827227,I_5
0.65,0.1683046843014933,I_6
0.65,0.7723090461246416,I_2
0.65,0.19497333634126043,I_3
0.65,0.21300557118155627,I_4
0.65,0.20695963393545785,I_5
