K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
2,0.02851598715557264,I_2,4115,15154,0.2715454665434869,4115,0.2715454665434869,15154
2,0.050870578245404766,I_3,3581,15156,0.23627606228556347,2209,0.14575085774610716,5052
2,0.0,I_4,3018,15156,0.19912905779889153,1327,0.0875560833993138,2526
2,0.0,I_5,2475,15160,0.1632585751978892,809,0.053364116094986806,1516
2,0.0,I_6,1987,15165,0.13102538740520936,566,0.0373227827233762,1011
2,0.09935617218114531,I_2,4064,15154,0.26818001847696976,4064,0.26818001847696976,15154
2,0.0,I_3,3608,15156,0.238057534969649,2213,0.14601477962523093,5052
2,0.0,I_4,3149,15156,0.20777249934019532,1359,0.08966745843230403,2526
2,0.0,I_5,2559,15160,0.1687994722955145,838,0.05527704485488127,1516
2,0.0,I_6,1905,15165,0.12561819980217606,541,0.03567424991757336,1011
2,0.05701222115969431,I_2,4235,15154,0.2794641678764683,4235,0.2794641678764683,15154
2,0.0,I_3,3593,15156,0.23706782792293482,2236,0.14753233043019268,5052
2,0.0,I_4,2911,15156,0.19206914753233043,1271,0.08386117709158089,2526
2,0.0,I_5,2558,15160,0.1687335092348285,840,0.055408970976253295,1516
2,0.02851598715557264,I_6,1916,15165,0.1263435542367293,521,0.03435542367293109,1011
2,0.09935617218114533,I_2,4180,15154,0.2758347630988518,4180,0.2758347630988518,15154
2,0.0,I_3,3620,15156,0.2388493006070203,2248,0.148324096067564,5052
2,0.0,I_4,3037,15156,0.20038268672472948,1314,0.08669833729216152,2526
2,0.0,I_5,2523,15160,0.16642480211081795,823,0.05428759894459103,1516
2,0.0,I_6,2043,15165,0.13471810089020772,563,0.03712495878667985,1011
2,0.05701222115969431,I_2,4188,15154,0.27636267652105057,4188,0.27636267652105057,15154
2,0.02851598715557264,I_3,3605,15156,0.23785959356030614,2214,0.14608076009501186,5052
2,0.0,I_4,3025,15156,0.19959092108735815,1331,0.08782000527843759,2526
2,0.0,I_5,2496,15160,0.16464379947229552,830,0.05474934036939314,1516
2,0.0,I_6,2081,15165,0.13722387075502804,575,0.03791625453346521,1011
3,0.354464276130075,I_2,3973,15154,0.26217500329945886,3973,0.26217500329945886,15154
3,0.25638815075648,I_3,3368,15156,0.2222222222222222,2335,0.1540643969385062,5052
3,0.05341298851180008,I_4,2951,15156,0.19470836632356822,1486,0.09804697809448404,2526
3,0.1273036990328768,I_5,2546,15160,0.1679419525065963,995,0.06563324538258575,1516
3,0.053412988511800076,I_6,2172,15165,0.14322453016815034,678,0.0447082096933729,1011
3,0.3371855459156492,I_2,4042,15154,0.2667282565659232,4042,0.2667282565659232,15154
3,0.153972957116363,I_3,3282,15156,0.21654790182106096,2292,0.15122723673792557,5052
3,0.10067869344768557,I_4,2935,15156,0.1936526788070731,1475,0.09732119292689365,2526
3,0.053412889081288356,I_5,2549,15160,0.16813984168865434,990,0.06530343007915568,1516
3,0.13345059147239435,I_6,2274,15165,0.14995054401582592,691,0.045565446752390375,1011
3,0.2563458261289288,I_2,4016,15154,0.2650125379437772,4016,0.2650125379437772,15154
3,0.19491438039085798,I_3,3276,15156,0.2161520190023753,2277,0.1502375296912114,5052
3,0.08011207530542203,I_4,3021,15156,0.19932699920823435,1521,0.1003562945368171,2526
3,0.04726629762067822,I_5,2484,15160,0.16385224274406332,999,0.06589709762532982,1516
3,0.026713901718178123,I_6,2146,15165,0.1415100560501154,673,0.04437850313221233,1011
3,0.4057330294180024,I_2,4050,15154,0.26725616998812196,4050,0.26725616998812196,15154
3,0.1744359623146058,I_3,3377,15156,0.22281604645025072,2345,0.15472420163631564,5052
3,0.10062002511726423,I_4,2928,15156,0.19319081551860648,1460,0.09633148588017947,2526
