K,VI,type,num_edge_error,num_edge,edge_error_rate,num_ans_error,ans_error_rate,num_ans
2,0.10166214310460572,I_2,4264,15154,0.28137785403193877,4264,0.28137785403193877,15154
2,0.0,I_3,7290,30309,0.24052261704444225,4481,0.14784387475667293,10103
2,0.0,I_4,9182,45462,0.2019708767762087,3960,0.0871057146627953,7577
2,0.0,I_5,10012,60620,0.1651600131969647,3320,0.054767403497195645,6062
2,0.0,I_6,9804,75780,0.12937450514647664,2710,0.0357614146212721,5052
2,0.05701222115969431,I_2,4150,15154,0.27385508776560646,4150,0.27385508776560646,15154
2,0.0,I_3,7155,30309,0.2360684945065822,4423,0.14593025174040714,10103
2,0.0,I_4,9178,45462,0.20188289120584224,3943,0.08673177598873785,7577
2,0.0,I_5,9835,60620,0.16224018475750576,3289,0.054256021115143514,6062
2,0.0,I_6,9970,75780,0.131565056743204,2772,0.03657957244655582,5052
2,0.07089944643101734,I_2,4134,15154,0.27279926092120893,4134,0.27279926092120893,15154
2,0.0,I_3,7052,30309,0.23267016397769638,4336,0.14305981721600844,10103
2,0.0,I_4,8834,45462,0.1943161321543267,3827,0.0841801944481105,7577
2,0.0,I_5,10013,60620,0.16517650940283735,3315,0.0546849224678324,6062
2,0.0,I_6,9942,75780,0.13119556611243072,2743,0.03619688572182634,5052
2,0.07089944643101734,I_2,4150,15154,0.27385508776560646,4150,0.27385508776560646,15154
2,0.0,I_3,7324,30309,0.24164439605397736,4487,0.1480418357583556,10103
2,0.0,I_4,9082,45462,0.1997712375170472,3927,0.08637983370727201,7577
2,0.0,I_5,9847,60620,0.16243813922797756,3276,0.05404157043879908,6062
2,0.0,I_6,9646,75780,0.12728952230139878,2670,0.035233570863024546,5052
2,0.05701222115969431,I_2,4122,15154,0.2720073907879108,4122,0.2720073907879108,15154
2,0.0,I_3,7228,30309,0.23847702002705468,4461,0.14718400475106405,10103
2,0.0,I_4,9234,45462,0.20311468919097267,3999,0.08796357397386828,7577
2,0.0,I_5,10050,60620,0.16578686902012538,3289,0.054256021115143514,6062
2,0.0,I_6,9913,75780,0.13081287938770125,2755,0.03635523884930061,5052
3,0.3717106313960042,I_2,4061,15154,0.26798205094364524,4061,0.26798205094364524,15154
3,0.0,I_3,6676,30309,0.22026460787224916,4675,0.1542446138110792,10103
3,0.0,I_4,8772,45462,0.19295235581364656,4468,0.0982798820993357,7577
3,0.0,I_5,10321,60620,0.17025734081161334,3970,0.06548993731441768,6062
3,0.0,I_6,11311,75780,0.1492610187384534,3507,0.04627870150435471,5052
3,0.49644338702285207,I_2,4150,15154,0.27385508776560646,4150,0.27385508776560646,15154
3,0.026713901718178123,I_3,6561,30309,0.21647035533999803,4525,0.1492955887690125,10103
3,0.0,I_4,8631,45462,0.18985086445822885,4383,0.09641018872904844,7577
3,0.0,I_5,10286,60620,0.1696799736060706,3971,0.06550643352029033,6062
3,0.0,I_6,11614,75780,0.15325943520717866,3596,0.04745315386645553,5052
3,0.44911760335959217,I_2,4090,15154,0.26989573709911574,4090,0.26989573709911574,15154
3,0.026713901718178123,I_3,6543,30309,0.21587647233495003,4559,0.15041736777854764,10103
3,0.0,I_4,8549,45462,0.1880471602657164,4355,0.09579428973648321,7577
3,0.0,I_5,10206,60620,0.16836027713625867,3932,0.06486308149125701,6062
3,0.0,I_6,11048,75780,0.14579044602797572,3453,0.04556611243072051,5052
3,0.3930963922369313,I_2,4037,15154,0.26639831067704894,4037,0.26639831067704894,15154
3,0.0,I_3,6741,30309,0.22240918539047808,4643,0.153188821802105,10103
3,0.0,I_4,8773,45462,0.19297435220623818,4427,0.0973780300030795,7577
3,0.0,I_5,10328,60620,0.17037281425272188,3984,0.06572088419663477,6062
3,0.0,I_6,11273,75780,0.14875956716811825,3501,0.046199524940617576,5052
3,0.28627633504895617,I_2,4071,15154,0.2686419427213937,4071,0.2686419427213937,15154
3,0.0,I_3,6689,30309,0.22069352337589496,4659,0.1537167178065921,10103
3,0.0,I_4,8596,45462,0.18908099071752232,4375,0.09623421758831552,7577
3,0.0,I_5,10375,60620,0.1711481359287364,4003,0.06603431210821512,6062
3,0.0,I_6,11390,75780,0.15030351016099236,3552,0.046872525732383215,5052
4,0.9858045607701862,I_2,4021,15020,0.2677097203728362,4021,0.2677097203728362,15020
4,0.05107766073813588,I_3,6273,30042,0.20880766926303176,4697,0.15634777977498168,10014
4,0.0,I_4,8335,45060,0.18497558810474923,4583,0.10170883266755437,7510
4,0.0,I_5,9856,60080,0.1640479360852197,4240,0.07057256990679095,6008
4,0.0,I_6,11377,75105,0.1514812595699354,3885,0.05172758138605952,5007
4,1.099631808566923,I_2,3911,15020,0.2603861517976032,3911,0.2603861517976032,15020
4,0.05103797689193836,I_3,6328,30042,0.21063843951800812,4694,0.1562479195792557,10014
4,0.02552895350184239,I_4,8343,45060,0.1851531291611185,4619,0.10250776742121616,7510
4,0.0,I_5,10017,60080,0.1667276964047936,4241,0.07058921438082556,6008
4,0.0,I_6,11411,75105,0.1519339591238932,3868,0.05150123160908062,5007
4,1.0015053472476785,I_2,3890,15020,0.2589880159786951,3890,0.2589880159786951,15020
4,0.16599963369882925,I_3,6387,30042,0.21260235670061914,4720,0.1571133746088809,10014
4,0.0,I_4,8452,45060,0.18757212605415002,4674,0.10372836218375499,7510
4,0.0,I_5,10072,60080,0.16764314247669773,4271,0.07108854860186418,6008
4,0.0,I_6,11228,75105,0.14949737034817923,3818,0.0508354969709074,5007
4,0.986175832112222,I_2,3928,15020,0.26151797603195737,3928,0.26151797603195737,15020
4,0.12748460839367104,I_3,6528,30042,0.21729578589974036,4779,0.1590772917914919,10014
4,0.0,I_4,8218,45060,0.18237905015534842,4575,0.10153129161118508,7510
4,0.0,I_5,10003,60080,0.16649467376830893,4290,0.07140479360852198,6008
4,0.0,I_6,11406,75105,0.1518673856600759,3853,0.05130151121762865,5007
4,1.3851128834704813,I_2,3985,15020,0.26531291611185087,3985,0.26531291611185087,15020
4,0.10201580433785268,I_3,6374,30042,0.21216962918580654,4739,0.15774582251514546,10014
4,0.0,I_4,8154,45060,0.18095872170439414,4587,0.10179760319573901,7510
4,0.0,I_5,9985,60080,0.16619507323568575,4247,0.07068908122503328,6008
4,0.0,I_6,11364,75105,0.1513081685640104,3816,0.05080886758538047,5007
5,2.3803258574692885,I_2,3889,15154,0.2566319123663719,3889,0.2566319123663719,15154
5,0.3382564912385105,I_3,6235,30309,0.20571447424857303,4821,0.15906166485202416,10103
5,0.0,I_4,8142,45462,0.17909462848092914,4779,0.10512076019532797,7577
5,0.0,I_5,9818,60620,0.16195974925767073,4474,0.07380402507423292,6062
5,0.0,I_6,11396,75780,0.1503826867247295,4083,0.05387965162311956,5052
5,1.9681729788190254,I_2,3948,15154,0.2605252738550878,3948,0.2605252738550878,15154
5,0.16481759267676924,I_3,6133,30309,0.20234913721996767,4768,0.15731300933716058,10103
5,0.0488870141638796,I_4,8159,45462,0.17946856715498657,4815,0.1059126303286261,7577
5,0.0,I_5,9624,60620,0.15875948531837678,4433,0.0731276806334543,6062
5,0.0,I_6,11311,75780,0.1492610187384534,4067,0.053668514119820536,5052
5,1.6529760168934102,I_2,3887,15154,0.2564999340108222,3887,0.2564999340108222,15154
5,0.26557717973683825,I_3,6166,30309,0.20343792272922234,4821,0.15906166485202416,10103
5,0.0244435070819398,I_4,8160,45462,0.1794905635475782,4830,0.10624257621750033,7577
5,0.0,I_5,9922,60620,0.16367535466842625,4471,0.07375453645661498,6062
5,0.0,I_6,11338,75780,0.14961731327527053,4050,0.05344418052256532,5052
